"","cond","distBin","angleBin","data_type","value"
"747","F0","2","2","heading",50.1789564338787
"748","F0","2","2","coord",0.898417622405451
"749","F0","2","2","heading",20.3540069961235
"750","F0","2","2","coord",0.941512044074787
"751","F0","2","2","heading",26.9479182989338
"752","F0","2","2","coord",0.899819282823286
"753","F0","1","1","heading",5.15598676688205
"754","F0","1","1","coord",0.962377915551775
"755","F0","1","1","heading",52.1139943383944
"756","F0","1","1","coord",0.824716358100018
"757","F0","1","1","heading",28.9115840466897
"758","F0","1","1","coord",0.98190925380826
"759","F0","1","1","heading",45.9482092300162
"760","F0","1","1","coord",0.818941717273356
"761","F0","1","1","heading",26.1306665720776
"762","F0","1","1","coord",0.908463727037869
"763","F0","0","4","heading",87.0412518295807
"764","F0","0","4","coord",0.917031602338558
"765","F0","0","2","heading",21.8389565229661
"766","F0","0","2","coord",0.8335819738205
"767","F0","0","3","heading",5.89376449235991
"768","F0","0","3","coord",0.97128956375669
"769","F0","0","1","heading",1.98114585653968
"770","F0","0","1","coord",0.798270047541018
"771","F0","0","2","heading",1.70069061279548
"772","F0","0","2","coord",0.837991102622583
"773","F0","0","2","heading",14.7887096032483
"774","F0","0","2","coord",0.993995458890813
"775","F0","0","2","heading",48.7497827591939
"776","F0","0","2","coord",0.940436645514605
"777","F0","0","3","heading",71.1041790879984
"778","F0","0","3","coord",0.9747686737475
"779","F0","0","3","heading",73.7500732394971
"780","F0","0","3","coord",0.899577719193972
"781","F0","1","3","heading",99.4717473398468
"782","F0","1","3","coord",0.647627334541097
"783","F0","1","3","heading",153.304360948952
"784","F0","1","3","coord",0.757482089037825
"785","F0","1","3","heading",155.39101099575
"786","F0","1","3","coord",0.914105268885685
"787","F0","1","2","heading",75.3220398627445
"788","F0","1","2","coord",0.759255749568381
"789","F0","2","2","heading",105.369824205169
"790","F0","2","2","coord",0.599151436650507
"791","F0","2","2","heading",81.497365815795
"792","F0","2","2","coord",0.894421289160084
"793","F0","2","2","heading",53.2490696807698
"794","F0","2","2","coord",0.92356344008071
"795","F0","2","2","heading",45.8211010429541
"796","F0","2","2","coord",0.925500060569093
"797","F0","1","2","heading",46.1890241781771
"798","F0","1","2","coord",0.971651421024713
"799","F0","1","3","heading",97.9975072583165
"800","F0","1","3","coord",0.783227414346426
"801","F0","1","4","heading",136.59401240968
"802","F0","1","4","coord",0.925787539422037
"803","F0","1","4","heading",142.902033214729
"804","F0","1","4","coord",0.99693230418436
"805","F0","1","5","heading",152.854295653749
"806","F0","1","5","coord",0.979467471379942
"807","F0","1","5","heading",122.766685701634
"808","F0","1","5","coord",0.949380745920411
"809","F0","1","4","heading",141.103076641479
"810","F0","1","4","coord",0.960924688163996
"811","F0","2","4","heading",8.89082916680749
"812","F0","2","4","coord",0.868004483502284
"813","F0","2","5","heading",149.410136699003
"814","F0","2","5","coord",0.984941135093873
"815","F0","1","5","heading",163.643826710253
"816","F0","1","5","coord",0.812904950739857
"817","F0","0","4","heading",139.626555973321
"818","F0","0","4","coord",0.855138135597757
"819","F0","0","1","heading",90.8244075936319
"820","F0","0","1","coord",0.832951934068022
"821","F0","1","1","heading",80.0867538366215
"822","F0","1","1","coord",0.672209348883185
"823","F0","1","0","heading",10.0296439854237
"824","F0","1","0","coord",0.747340266224438
"825","F0","1","0","heading",2.31779565553076
"826","F0","1","0","coord",0.791209709480348
"827","F0","1","0","heading",27.4969708082666
"828","F0","1","0","coord",0.853925623775707
"829","F0","0","0","heading",49.9774121553547
"830","F0","0","0","coord",0.911280697843647
"831","F0","0","0","heading",48.3699908225104
"832","F0","0","0","coord",0.927450779156993
"833","F0","0","2","heading",67.8414602848324
"834","F0","0","2","coord",0.88489301220823
"835","F0","0","5","heading",118.907470083252
"836","F0","0","5","coord",0.880268220232928
"837","F0","0","5","heading",98.2555428922912
"838","F0","0","5","coord",0.89241836586459
"839","F0","1","5","heading",142.594696057616
"840","F0","1","5","coord",0.891971119915994
"841","F0","2","2","heading",143.66806620568
"842","F0","2","2","coord",0.913364140627422
"843","F0","2","1","heading",108.89208194596
"844","F0","2","1","coord",0.924155979187109
"845","F0","1","1","heading",127.249586008326
"846","F0","1","1","coord",0.982249282769938
"847","F0","1","0","heading",142.182211137343
"848","F0","1","0","coord",0.945598435233668
"849","F0","1","0","heading",144.493604933605
"850","F0","1","0","coord",0.930268420776898
"851","F0","2","0","heading",23.6772814430367
"852","F0","2","0","coord",0.901451569867632
"853","F0","2","0","heading",11.0176558686984
"854","F0","2","0","coord",0.970787073322315
"855","F0","1","0","heading",39.7900807312974
"856","F0","1","0","coord",0.907196006868456
"857","F0","1","0","heading",67.5088509519251
"858","F0","1","0","coord",0.897011209163995
"859","F0","0","0","heading",67.2924896680763
"860","F0","0","0","coord",0.987033015149716
"861","F0","0","1","heading",68.9319453668468
"862","F0","0","1","coord",0.978853929597561
"863","F0","0","2","heading",66.4353328074517
"864","F0","0","2","coord",0.85462137255904
"865","F0","0","3","heading",48.0008611421333
"866","F0","0","3","coord",0.886889094838429
"867","F0","0","4","heading",93.6591135481355
"868","F0","0","4","coord",0.965353980546466
"869","F0","1","2","heading",97.8689725571502
"870","F0","1","2","coord",0.965711091262954
"871","F0","1","1","heading",97.1469429703701
"872","F0","1","1","coord",0.936209638013031
"873","F0","0","0","heading",104.683883488744
"874","F0","0","0","coord",0.811526918275678
"875","F0","1","0","heading",51.6819762742354
"876","F0","1","0","coord",0.80378890972828
"877","F0","1","1","heading",23.3897032940633
"878","F0","1","1","coord",0.818287922129598
"879","F0","1","1","heading",56.5160240594623
"880","F0","1","1","coord",0.880932034366424
"881","F0","1","2","heading",10.2675783797445
"882","F0","1","2","coord",0.734258546257285
"883","F0","1","2","heading",35.9676988955906
"884","F0","1","2","coord",0.809657111873044
"885","F0","1","2","heading",38.5218317373824
"886","F0","1","2","coord",0.830851453948764
"887","F0","1","3","heading",39.7081742400745
"888","F0","1","3","coord",0.892706872566468
"889","F0","1","3","heading",9.76307928691384
"890","F0","1","3","coord",0.939732720382901
"891","F0","1","3","heading",33.1709835676861
"892","F0","1","3","coord",0.986908827265516
"893","F0","1","3","heading",21.6040670963349
"894","F0","1","3","coord",0.75659106545019
"895","F0","0","4","heading",47.9188005767434
"896","F0","0","4","coord",0.892687295118987
"897","F0","1","3","heading",117.957282555803
"898","F0","1","3","coord",0.927914412846195
"899","F0","1","2","heading",83.9600323202048
"900","F0","1","2","coord",0.783570112592547
"901","F0","1","2","heading",4.7870334112595
"902","F0","1","2","coord",0.825226295384607
"903","F0","1","2","heading",3.50748774314023
"904","F0","1","2","coord",0.643629849388317
"905","F0","1","2","heading",33.1022130907034
"906","F0","1","2","coord",0.746930846738613
"907","F0","1","2","heading",91.502571019193
"908","F0","1","2","coord",0.92454884164998
"909","F0","0","3","heading",108.647619453381
"910","F0","0","3","coord",0.7679550798001
"911","F0","0","5","heading",130.164760476104
"912","F0","0","5","coord",0.723005586158635
"913","F0","1","5","heading",137.274541629451
"914","F0","1","5","coord",0.854971090255925
"915","F0","1","5","heading",140.580401278957
"916","F0","1","5","coord",0.753825187227487
"917","F0","1","4","heading",138.417882230616
"918","F0","1","4","coord",0.863121844476026
"919","F0","2","4","heading",148.38176381628
"920","F0","2","4","coord",0.909474510386826
"921","F0","2","4","heading",84.611795347635
"922","F0","2","4","coord",0.856182852224438
"923","F0","2","3","heading",87.2137077918502
"924","F0","2","3","coord",0.921283098780934
"925","F0","2","0","heading",93.829806625908
"926","F0","2","0","coord",0.930304670903193
"927","F0","2","0","heading",142.025449093328
"928","F0","2","0","coord",0.903442981073717
"929","F0","2","1","heading",118.406280557007
"930","F0","2","1","coord",0.864303466143216
"931","F0","1","1","heading",122.190323781374
"932","F0","1","1","coord",0.872418887149848
"933","F0","2","2","heading",153.005959761537
"934","F0","2","2","coord",0.774234931241637
"935","F0","1","3","heading",134.113505362246
"936","F0","1","3","coord",0.991979724949707
"937","F0","2","3","heading",165.793965866769
"938","F0","2","3","coord",0.802354129940797
"939","F0","2","0","heading",137.80728129305
