,Year,Month,Day,Trial,Abalation,Darkness,Flow,Fish,Tailbeat Num,Heading,Speed,TB_Frequency
11,2021,07,07,18,N,Y,2,individual5,11,116.91848340155646,0.02044395726023058,2.3279352226720644
12,2021,07,07,18,N,Y,2,individual5,12,102.75939262151073,0.012241856965368943,2.5
13,2021,07,07,18,N,Y,2,individual5,13,89.7194253708992,0.023679269558745036,3.839712918660287
0,2021,07,07,18,N,Y,2,individual6,0,32.968007399501495,0.034634450919401406,4.601503759398494
1,2021,07,07,18,N,Y,2,individual6,1,23.965409026912255,0.03012825405769559,1.7142857142857142
2,2021,07,07,18,N,Y,2,individual6,2,20.676770815875315,0.027193715968604273,4.285714285714286
3,2021,07,07,18,N,Y,2,individual6,3,-11.751324624271112,0.03943508778031544,1.4285714285714284
4,2021,07,07,18,N,Y,2,individual6,4,-54.12843519077032,0.030309460799478195,2.048872180451128
5,2021,07,07,18,N,Y,2,individual6,5,-40.19999621395944,0.02101175332717763,2.973684210526316
6,2021,07,07,18,N,Y,2,individual6,6,-86.38968849694751,0.018758562400148032,3.1578947368421053
7,2021,07,07,18,N,Y,2,individual6,7,-79.80192705991098,0.014469130486682477,5.424148606811146
8,2021,07,07,18,N,Y,2,individual6,8,-90.86236495056119,0.010013931970731119,3.360540388404165
9,2021,07,07,18,N,Y,2,individual6,9,-83.85609264872595,0.011394406116232403,2.749937043565852
10,2021,07,07,18,N,Y,2,individual6,10,-101.54786353983744,0.008148279327011062,3.157894736842105
11,2021,07,07,18,N,Y,2,individual6,11,-128.82802756927893,0.007345860895948581,3.149584487534626
12,2021,07,07,18,N,Y,2,individual6,12,-94.07418174192198,0.005296744344783148,3.0
13,2021,07,07,18,N,Y,2,individual6,13,-178.57166177128062,0.008734354275048768,3.5087719298245617
14,2021,07,07,18,N,Y,2,individual6,14,152.2732057814872,0.010032317332076301,3.2017543859649122
15,2021,07,07,18,N,Y,2,individual6,15,141.39892157933738,0.0046907078894962515,2.5
0,2021,07,07,18,N,Y,2,individual7,0,164.5840851954667,0.05054329558903234,1.8181818181818183
1,2021,07,07,18,N,Y,2,individual7,1,176.34426234587062,0.02596704916609397,2.7751196172248798
2,2021,07,07,18,N,Y,2,individual7,2,-175.19902845039027,0.01563395369830016,4.45933014354067
3,2021,07,07,18,N,Y,2,individual7,3,-147.14640409435125,0.023536566890152127,3.403508771929825
4,2021,07,07,18,N,Y,2,individual7,4,-152.52404407530852,0.019468937848817557,3.9254385964912286
5,2021,07,07,18,N,Y,2,individual7,5,-151.93384437829357,0.013550170362157995,3.75
6,2021,07,07,18,N,Y,2,individual7,6,154.50083617872397,0.012671872828014682,3.75
7,2021,07,07,18,N,Y,2,individual7,7,,,3.75
8,2021,07,07,18,N,Y,2,individual7,8,,,1.736842105263158
9,2021,07,07,18,N,Y,2,individual7,9,123.04894238442891,0.00590363280322528,1.2
10,2021,07,07,18,N,Y,2,individual7,10,66.79862292610956,0.0019877984257377053,1.3614035087719296
11,2021,07,07,18,N,Y,2,individual7,11,4.288614963820963,0.004377252881029692,2.2222222222222223
12,2021,07,07,18,N,Y,2,individual7,12,27.476842512235592,0.014560472312316676,2.6900584795321634
13,2021,07,07,18,N,Y,2,individual7,13,85.99688167814637,0.024195279882218076,2.200956937799043
14,2021,07,07,18,N,Y,2,individual7,14,96.58560065305505,0.018893775768366344,1.8181818181818183
15,2021,07,07,18,N,Y,2,individual7,15,89.9986792058628,0.016066622876283455,3.17384370015949
0,2021,07,07,18,N,Y,2,individual8,0,,,2.727272727272727
1,2021,07,07,18,N,Y,2,individual8,1,,,2.5358851674641145
2,2021,07,07,18,N,Y,2,individual8,2,,,3.7246963562753033
3,2021,07,07,18,N,Y,2,individual8,3,151.50027082445828,0.015380174030678479,5.079131394920868
4,2021,07,07,18,N,Y,2,individual8,4,142.17157872557667,0.02575894501592605,5.123297754876702
5,2021,07,07,18,N,Y,2,individual8,5,160.58861820953703,0.02529901208673663,4.21528935460824
6,2021,07,07,18,N,Y,2,individual8,6,165.72617048505276,0.02242140735098893,3.752321981424149
7,2021,07,07,18,N,Y,2,individual8,7,-161.30180859417663,0.01840110035192457,4.421052631578948
8,2021,07,07,18,N,Y,2,individual8,8,-170.43569996518983,0.017038717368936286,4.8803827751196165
9,2021,07,07,18,N,Y,2,individual8,9,-179.02738041306625,0.021163857052983556,4.85645933014354
10,2021,07,07,18,N,Y,2,individual8,10,-175.9025796287664,0.02142750042591526,4.298245614035087
11,2021,07,07,18,N,Y,2,individual8,11,173.59346719600268,0.016256620676115007,3.2502308402585407
12,2021,07,07,18,N,Y,2,individual8,12,177.68424308654775,0.010553147379256826,3.5567867036011083
13,2021,07,07,18,N,Y,2,individual8,13,161.78585774550555,0.010774079706561072,4.421052631578948
14,2021,07,07,18,N,Y,2,individual8,14,151.56026351006676,0.02337365465428164,5.101214574898785
0,2021,10,06,34,Y,N,2,individual1,0,79.64136164565957,0.014479072286160343,3.2809295967190706
1,2021,10,06,34,Y,N,2,individual1,1,45.89284964297161,0.004689726280792065,0.7792207792207793
