,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
5,2021,08,03,08,Y,N,0,individual7xindividual3,5,0.3495164985001365,0.4617515680392691,0.5791168218162202,56.86105821692112,122.88329641439698,1.152388254549139,1.8979220937043375,-0.7455338391551988,-0.8567129304640565,0.31576526765755303
6,2021,08,03,08,Y,N,0,individual7xindividual3,6,-0.3496872102536132,0.580611126261249,0.6777834646502604,118.95286727628113,169.13021855481367,1.3437657008210728,1.070212558212549,0.27355314260852426,-0.7468863894209646,0.3813667639438855
7,2021,08,03,08,Y,N,0,individual7xindividual3,7,-0.9971475320425415,0.5995819470957185,1.1635298500432314,148.621219973446,147.18344452276423,1.5176093012454492,0.9313246470414008,0.5862846542040482,,0.4780258046366559
8,2021,08,03,08,Y,N,0,individual7xindividual3,8,-1.5055713116989367,0.5489138260158167,1.6025140757578946,159.76453430337338,109.60422071819107,1.4972237067044525,0.8239119344240878,0.6733117722803647,0.06465993810309255,0.900245521083062
9,2021,08,03,08,Y,N,0,individual7xindividual3,9,-1.7578650122716113,0.4624595036814836,1.817679342984894,165.22538470453898,66.66200529385189,1.5630329906606206,0.8347117295837257,0.7283212610768947,0.6636385113278372,0.9923651224858054
10,2021,08,03,08,Y,N,0,individual7xindividual3,10,-1.9380212707935642,0.21262367057540218,1.9496500381702504,173.7570270573324,36.45393323705978,1.4436804125703626,0.8012145946561459,0.6424658179142165,0.687729158124771,0.9939724651203727
0,2021,08,03,08,Y,N,0,individual8xindividual3,0,,,,,,,0.7889746317900879,,,0.1282777095218553
1,2021,08,03,08,Y,N,0,individual8xindividual3,1,-2.0875175318521455,0.30759795535023404,2.1100582806940946,171.69565999064577,67.50531191946433,2.164622648714674,0.8629652292986622,1.3016574194160118,0.19257861393423714,0.48185183595156456
2,2021,08,03,08,Y,N,0,individual8xindividual3,2,,,,,,,1.0429769983949215,,,0.7826765959950273
3,2021,08,03,08,Y,N,0,individual8xindividual3,3,,,,,,,0.8324888786330865,,,0.826325758899396
4,2021,08,03,08,Y,N,0,individual8xindividual3,4,-0.28881838014725936,-1.1113089719116445,1.1482263225349796,-104.95668672463441,138.06984889504844,1.945453471810287,1.345403184328567,0.6000502874817202,0.4687352717972047,0.8310541343308598
5,2021,08,03,08,Y,N,0,individual8xindividual3,5,-0.1963351513498773,-1.1851319880010907,1.2012848624031671,-99.443752889185,52.373294006407164,1.5620858918686393,1.8979220937043375,-0.3358362018356984,0.7885686354055522,0.5429617432622986
6,2021,08,03,08,Y,N,0,individual8xindividual3,6,-0.10922852467957452,-1.0361333515134987,1.0418748450376716,-95.9900453720509,5.695962213739594,1.2938467507322782,1.070212558212549,0.22363419251972927,0.8709171769023131,0.4872880301272888
0,2021,08,03,08,Y,N,0,individual5xindividual4,0,-1.9141810744477774,0.796960458140169,2.0734597072557346,157.40198537494766,71.93860822136922,0.2302069256673778,1.129097625355693,-0.8988906996883156,,0.6664159482631294
1,2021,08,03,08,Y,N,0,individual5xindividual4,1,-1.6231985274065994,0.648811289882738,1.748064515186512,158.22018090432266,75.98353886967932,0.12561783360428913,0.8352828646283886,-0.7096650310240994,,0.7020539171438877
2,2021,08,03,08,Y,N,0,individual5xindividual4,2,-1.4624109626397601,0.582562312517044,1.5741742824776919,158.27396342933534,70.21156482838403,0.49033888353682614,0.5951631038502064,-0.10482422031338033,0.4602656342021517,0.7020539171438877
3,2021,08,03,08,Y,N,0,individual5xindividual4,3,-1.6727807472047995,0.377014725934006,1.7147406602137074,167.1739591755792,16.945291739795934,1.7515828800548634,0.6575200423499546,1.0940628377049086,0.629590340921631,0.7020539171438877
4,2021,08,03,08,Y,N,0,individual5xindividual4,4,-1.7701377147532038,0.24244995909462774,1.7866643534409816,172.20579471635082,12.252275597960566,0.8242797534405678,1.0726302053237826,-0.24835045188321492,0.8997555022451321,0.7338563219265735
5,2021,08,03,08,Y,N,0,individual5xindividual4,5,-1.69733569675484,0.22168939187346604,1.7117519253523465,172.54179840532916,10.828668372966156,0.6648093501790149,1.1722309044335986,-0.5074215542545837,0.8674009291061038,0.7375977813127718
6,2021,08,03,08,Y,N,0,individual5xindividual4,6,-1.557280610853559,0.21767712026179437,1.5724205002561822,172.0385281448979,8.01709261430825,0.8595044572258235,1.1001614297673195,-0.24065697254149598,0.8383686250982807,0.5846080446751539
0,2021,08,03,08,Y,N,0,individual4xindividual6,0,-1.3117608399236431,1.7813149713662393,2.2121933749947558,126.2015853379152,146.43120858152906,1.129097625355693,0.9291413031650144,0.19995632219067874,-0.43757301367746204,0.9983798204064215
1,2021,08,03,08,Y,N,0,individual4xindividual6,1,-1.7294226888464685,1.5818380147259339,2.3437393928355243,137.54635991196812,102.37345581231251,0.8352828646283886,1.7223574053519757,-0.8870745407235873,0.21418060520064286,0.9972811900317112
2,2021,08,03,08,Y,N,0,individual4xindividual6,2,-1.7902898827379325,1.263364057812926,2.191170145563174,144.8371638525542,49.5420582862722,0.5951631038502064,1.8779710988483378,-1.2828079949981313,0.795347088577274,0.9972811900317112
3,2021,08,03,08,Y,N,0,individual4xindividual6,3,-1.6684284155985818,0.9495170439050996,1.9196968496726436,150.39527488748715,32.94920558999898,0.6575200423499546,1.4254400401679275,-0.7679199978179727,0.8340479290596321,0.6722833907603315
4,2021,08,03,08,Y,N,0,individual4xindividual6,4,-1.650152713389692,0.766358058358331,1.819425362887446,155.09577933395892,28.386095143362116,1.0726302053237826,1.2765357748652557,-0.20390556954147296,0.8870502584403749,0.658571241994858
5,2021,08,03,08,Y,N,0,individual4xindividual6,5,-1.6444837742023453,0.6457253886010363,1.7667167744431336,158.57541491087818,25.907507853191934,1.1722309044335986,1.0391851406115908,0.13304576382200783,0.7377814729628116,0.635368999721695
6,2021,08,03,08,Y,N,0,individual4xindividual6,6,-1.6952432506135808,0.4912345241341696,1.7649818799217811,163.84594551808345,27.184765849073713,1.1001614297673195,1.1252908195775628,-0.02512938981024319,0.8868888827357797,0.774730425945171
7,2021,08,03,08,Y,N,0,individual4xindividual6,7,-1.697487319334606,0.36537605672211615,1.736364841307146,167.8615513529013,22.43653489446388,0.8430636765721139,1.097155018634879,-0.254091342062765,0.9001151880446645,0.9269561892628669
8,2021,08,03,08,Y,N,0,individual4xindividual6,8,-1.6629705481319879,0.21929151895282245,1.6773669289213498,172.4967885806678,27.511328798623413,1.087846394218474,1.0044063107097383,0.08344008350873576,0.7658401531667565,0.7829792742430707
9,2021,08,03,08,Y,N,0,individual4xindividual6,9,-1.7106441176016771,0.08797755604648806,1.7129049440798325,177.05341680862782,27.29067489310921,1.3635390478174283,1.0081858215352928,0.3553532262821353,0.6606208095870852,0.4240365410970292
10,2021,08,03,08,Y,N,0,individual4xindividual6,10,-1.7025533133351511,-0.03853695118625578,1.702989395549847,-102.91041359754668,34.527272726191335,0.7636971632191651,0.8161364101241387,-0.05243924690497377,0.7300472141196085,0.42938814366087735
0,2021,08,03,08,Y,N,0,individual7xindividual4,0,,,,,,,1.129097625355693,,,0.5355025444657336
1,2021,08,03,08,Y,N,0,individual7xindividual4,1,-0.4200283610580856,-0.30549195527679296,0.51937381415699,-143.95504059769917,2.6439786689281912,1.0172781326092324,0.8352828646283886,0.18199526798084362,0.9353827233062516,0.9613079653969684
2,2021,08,03,08,Y,N,0,individual7xindividual4,2,-0.4979023725115898,-0.3074807744750477,0.5851933007344198,-148.23723763312276,1.8669150938734769,0.9523449930840392,0.5951631038502064,0.35718188923383254,0.8320735492177075,0.4823783616310651
3,2021,08,03,08,Y,N,0,individual7xindividual4,3,-0.6185576765748567,-0.2920875374965911,0.684053162269211,-154.67224713008588,3.4240113840263793,1.0405992532997386,0.6575200423499546,0.3830792109497841,0.8465665327529792,0.1475106282062032
4,2021,08,03,08,Y,N,0,individual7xindividual4,4,-0.6993247886555768,-0.32137032997000275,0.769632411618167,-155.32405194746073,6.202595233499992,1.2055371446013219,1.0726302053237826,0.13290693927753944,0.909136051659377,0.2033754905181806
5,2021,08,03,08,Y,N,0,individual7xindividual4,5,-0.7863168802836106,-0.31526370329970005,0.8471631713177759,-158.1430655036568,9.938711632156572,1.152388254549139,1.1722309044335986,-0.019842649884459752,0.9113351623422059,0.20300389452753717
6,2021,08,03,08,Y,N,0,individual7xindividual4,6,-0.7850733569675483,-0.3352023452413418,0.8536397296726478,-156.88612947585884,3.327590378726995,1.3437657008210728,1.1001614297673195,0.2436042710537537,0.8929265153552424,0.35178058980248256
7,2021,08,03,08,Y,N,0,individual7xindividual4,7,-0.8879511862557948,-0.44519252795200426,0.9933044327482734,-153.46651284409404,12.486321971350606,1.5176093012454492,0.8430636765721139,0.6745456246733353,0.7128986818835108,0.8196085888753022
8,2021,08,03,08,Y,N,0,individual7xindividual4,8,-0.9940629942732481,-0.6653823288791929,1.1962001839860226,-146.24036924632057,24.549995240266764,1.4972237067044525,1.087846394218474,0.40937731248597875,0.7572211454890855,0.956633184154825
9,2021,08,03,08,Y,N,0,individual7xindividual4,9,-0.9450190948335561,-0.952187809659796,1.3415374443021535,-134.99182146681494,40.27697688208678,1.5630329906606206,1.3635390478174283,0.19949394284319247,0.419779244668092,0.9096881635366147
10,2021,08,03,08,Y,N,0,individual7xindividual4,10,-0.8401791655304065,-1.3626408508317427,1.6008407536500393,-121.80622314827238,61.464027629526655,1.4436804125703626,0.7636971632191651,0.6799832493511974,0.1238746818379862,0.8578229564965204
