,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Z_Distance,Distance,Angle,Yaw_Heading_Diff,Pitch_Heading_Diff,Fish1_Speed,Fish2_Speed,Fish1_X,Fish1_Y,Fish1_Z,Fish2_X,Fish2_Y,Fish2_Z,Fish1_Yaw_Heading,Fish2_Yaw_Heading,Speed_Diff,Sync
2,2021,10,06,34,Y,N,2,individual8xindividual1,2,0.8865967906366364,-0.9008753351290577,2.210814592226872,2.5466313827906752,-47.233417016745626,65.46235838353404,105.0908492795572,3.296900297958347,8.656358891688924,1.658350724351024,2.6029484799269373,4.4230757645855165,0.7717539337143876,1.7020731447978794,2.2122611723586445,-177.09632458536353,-102.30453421227001,-5.3594585937305785,0.33397061323705296
3,2021,10,06,34,Y,N,2,individual8xindividual1,3,,,,,,,,9.716058648377992,,1.8311620134007338,2.583233698847584,3.863316534828389,,,,-27.63247727072624,,,0.19544370370098002
4,2021,10,06,34,Y,N,2,individual8xindividual1,4,,,,,,,,,,,,,,,,,,,0.19544370370098002
5,2021,10,06,34,Y,N,2,individual8xindividual1,5,-0.8796250830777964,-0.5639368940668185,2.2120186015431833,2.4463833307236236,-146.86758574404698,,,3.912825096367808,3.1394312062409866,2.2017073849643305,2.5684277282547456,3.5513558824977394,3.081332468042127,2.004490834187927,1.3393372809545554,,47.24052531780391,0.7733938901268222,0.8470945102148145
0,2021,10,06,34,Y,N,2,individual5xindividual3,0,,,,,,,,3.7225286192745473,,2.0148825039684706,2.743375052714492,3.8813185487384105,,,,118.67416516351896,,,1.0
1,2021,10,06,34,Y,N,2,individual5xindividual3,1,,,,,,,,3.4129228040367536,,1.8977099283261492,2.846939301355151,4.556572589909557,,,,175.58406875771672,,,1.0
2,2021,10,06,34,Y,N,2,individual5xindividual3,2,,,,,,,,3.4663034218778175,,1.8136234079593665,2.963495976733858,5.36638225637444,,,,174.31974789041388,,,0.9197440937196851
3,2021,10,06,34,Y,N,2,individual5xindividual3,3,,,,,,,,3.1146329110391258,,1.826971645255424,3.0332765895544735,5.967866565733305,,,,174.77020193100273,,,0.8613761618794561
0,2021,10,06,34,Y,N,2,individual6xindividual3,0,,,,,,,,3.9232665589540248,,2.971598381502896,2.249683096954858,3.8213383228744644,,,,142.56410836140844,,,
1,2021,10,06,34,Y,N,2,individual6xindividual3,1,,,,,,,,3.4328534922480243,,3.0543665540401217,2.3433087061776177,3.9320679493843373,,,,156.12772276003662,,,
0,2021,10,06,34,Y,N,2,individual3xindividual7,0,,,,,,,,,,,,,,,,,,,
1,2021,10,06,34,Y,N,2,individual3xindividual7,1,,,,,,,,,,,,,,,,,,,
2,2021,10,06,34,Y,N,2,individual3xindividual7,2,,,,,,,,,,,,,,,,,,,
3,2021,10,06,34,Y,N,2,individual3xindividual7,3,,,,,,,,,,,,,,,,,,,
0,2021,10,06,34,Y,N,2,individual3xindividual8,0,,,,,,,,,,,,,,,,,,,0.23077601744706383
1,2021,10,06,34,Y,N,2,individual3xindividual8,1,,,,,,,,,5.549442168213598,,,,1.3941326672099907,2.7113536482732994,5.725810832286443,,-172.6230974419577,,0.3539690561507683
2,2021,10,06,34,Y,N,2,individual3xindividual8,2,,,,,,,,,3.296900297958347,,,,1.658350724351024,2.6029484799269373,4.4230757645855165,,-177.09632458536353,,0.8106820196665055
3,2021,10,06,34,Y,N,2,individual3xindividual8,3,,,,,,,,,9.716058648377992,,,,1.8311620134007338,2.583233698847584,3.863316534828389,,-27.63247727072624,,0.9110434389309261
0,2021,10,06,34,Y,N,2,individual6xindividual4,0,,,,,,,,3.9232665589540248,,2.971598381502896,2.249683096954858,3.8213383228744644,,,,142.56410836140844,,,
1,2021,10,06,34,Y,N,2,individual6xindividual4,1,,,,,,,,3.4328534922480243,,3.0543665540401217,2.3433087061776177,3.9320679493843373,,,,156.12772276003662,,,
0,2021,10,06,34,Y,N,2,individual5xindividual6,0,-0.9567158775344256,-0.49369195575963376,0.05998022586394646,1.0782553709594624,-152.5026610488691,32.952283325810846,47.54313984688745,3.7225286192745473,3.9232665589540248,2.0148825039684706,2.743375052714492,3.8813185487384105,2.971598381502896,2.249683096954858,3.8213383228744644,118.67416516351896,142.56410836140844,-0.20073793967947676,0.9444308375194573
1,2021,10,06,34,Y,N,2,individual5xindividual6,1,-1.156656625713973,-0.5036305951775336,0.6245046405252189,1.4076591818492301,-156.44409076787397,19.449751877902255,24.620401665920188,3.4129228040367536,3.4328534922480243,1.8977099283261492,2.846939301355151,4.556572589909557,3.0543665540401217,2.3433087061776177,3.9320679493843373,175.58406875771672,156.12772276003662,-0.019930688211270666,0.9453122150785617
2,2021,10,06,34,Y,N,2,individual5xindividual6,2,-1.3554722531300936,-0.5392522302429275,1.6794782379176068,2.2245775213434063,-158.3220006953835,9.868872571442676,19.756511870072373,3.4663034218778175,4.071569629779407,1.8136234079593665,2.963495976733858,5.36638225637444,3.16909566108946,2.4242437464909306,3.6869040184568327,174.31974789041388,164.4489372092441,-0.6052662079015898,0.9428603762833385
3,2021,10,06,34,Y,N,2,individual5xindividual6,3,-1.467206557948427,-0.632467929845269,3.2154727792768476,3.590539786750734,-156.70275742809272,3.2043350354795597,42.029472615199175,3.1146329110391258,4.058417005059525,1.826971645255424,3.0332765895544735,5.967866565733305,3.294178203203851,2.4008086597092047,2.7523937864564574,174.77020193100273,172.52615458636765,-0.943784094020399,0.9563951690662812
