pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
-1.608095,0.266209,0.069992,-2.408040,-0.163007,-0.332708
-1.608636,0.266798,0.040975,-2.407936,-0.161410,-0.362393
-1.606783,0.267890,0.009179,-2.405165,-0.159369,-0.395117
-1.602449,0.269311,-0.025376,-2.399656,-0.156958,-0.430881
-1.595614,0.270846,-0.062633,-2.391405,-0.154283,-0.469646
-1.586322,0.272264,-0.102495,-2.380479,-0.151471,-0.511328
-1.574675,0.273349,-0.144824,-2.367004,-0.148654,-0.555793
-1.560831,0.273918,-0.189435,-2.351153,-0.145953,-0.602859
-1.544988,0.273845,-0.236101,-2.333138,-0.143470,-0.652290
-1.527372,0.273062,-0.284549,-2.313197,-0.141280,-0.703802
-1.508231,0.271561,-0.334460,-2.291581,-0.139424,-0.757060
-1.487816,0.269393,-0.385478,-2.268549,-0.137915,-0.811678
-1.466373,0.266647,-0.437209,-2.244356,-0.136739,-0.867230
-1.444133,0.263446,-0.489226,-2.219247,-0.135859,-0.923247
-1.421302,0.259931,-0.541074,-2.193447,-0.135222,-0.979229
-1.398060,0.256248,-0.592277,-2.167158,-0.134763,-1.034647
-1.374548,0.252548,-0.642342,-2.140553,-0.134404,-1.088953
-1.350872,0.248973,-0.690771,-2.113772,-0.134054,-1.141588
-1.327098,0.245667,-0.737061,-2.086922,-0.133609,-1.191993
-1.303255,0.242765,-0.780719,-2.060081,-0.132951,-1.239614
-1.279338,0.240405,-0.821265,-2.033299,-0.131948,-1.283917
-1.255314,0.238728,-0.858246,-2.006603,-0.130459,-1.324393
-1.231131,0.237874,-0.891237,-1.980005,-0.128336,-1.360570
-1.206725,0.237987,-0.919856,-1.953503,-0.125437,-1.392020
-1.182028,0.239206,-0.943770,-1.927092,-0.121629,-1.418371
-1.156980,0.241661,-0.962701,-1.900767,-0.116801,-1.439311
-1.131538,0.245463,-0.976430,-1.874530,-0.110876,-1.454601
-1.105684,0.250687,-0.984807,-1.848393,-0.103815,-1.464073
-1.079437,0.257363,-0.987749,-1.822388,-0.095634,-1.467642
-1.052852,0.265460,-0.985242,-1.796570,-0.086412,-1.465303
-1.026031,0.274870,-0.977343,-1.771016,-0.076296,-1.457130
-0.999119,0.285398,-0.964172,-1.745834,-0.065509,-1.443278
-0.972304,0.296758,-0.945912,-1.721155,-0.054342,-1.423968
-0.945804,0.308578,-0.922802,-1.697135,-0.043147,-1.399486
-0.919858,0.320413,-0.895128,-1.673943,-0.032324,-1.370169
-0.894714,0.331775,-0.863211,-1.651754,-0.022293,-1.336394
-0.870609,0.342164,-0.827405,-1.630735,-0.013477,-1.298567
-0.847759,0.351104,-0.788080,-1.611032,-0.006271,-1.257109
-0.826339,0.358179,-0.745615,-1.592758,-0.001014,-1.212447
-0.806471,0.363063,-0.700389,-1.575981,0.002034,-1.165000
-0.788218,0.365544,-0.652774,-1.560718,0.002712,-1.115173
-0.771575,0.365537,-0.603130,-1.546928,0.000973,-1.063349
-0.756469,0.363094,-0.551795,-1.534517,-0.003116,-1.009883
-0.742766,0.358392,-0.499089,-1.523340,-0.009374,-0.955101
-0.730276,0.351730,-0.445307,-1.513207,-0.017520,-0.899297
-0.718772,0.343499,-0.390720,-1.503895,-0.027192,-0.842736
-0.707999,0.334164,-0.335576,-1.495162,-0.037968,-0.785653
-0.697694,0.324230,-0.280103,-1.486754,-0.049392,-0.728259
-0.687597,0.314215,-0.224510,-1.478425,-0.060997,-0.670743
-0.677463,0.304616,-0.168988,-1.469943,-0.072330,-0.613274
-0.667071,0.295890,-0.113719,-1.461104,-0.082969,-0.556011
-0.656231,0.288427,-0.058875,-1.451737,-0.092543,-0.499099
-0.644787,0.282537,-0.004623,-1.441711,-0.100742,-0.442683
-0.632621,0.278439,0.048873,-1.430930,-0.107326,-0.386903
-0.619647,0.276261,0.101445,-1.419335,-0.112131,-0.331906
-0.605809,0.276043,0.152922,-1.406898,-0.115069,-0.277848
-0.591076,0.277751,0.203125,-1.393612,-0.116124,-0.224897
-0.575434,0.281281,0.251863,-1.379483,-0.115348,-0.173241
-0.558878,0.286481,0.298932,-1.364524,-0.112852,-0.123086
-0.541409,0.293156,0.344115,-1.348742,-0.108797,-0.074661
-0.523025,0.301079,0.387179,-1.332132,-0.103384,-0.028218
-0.503714,0.310007,0.427879,-1.314673,-0.096842,0.015967
-0.483458,0.319681,0.465961,-1.296324,-0.089422,0.057601
-0.462220,0.329839,0.501159,-1.277019,-0.081385,0.096372
-0.439951,0.340223,0.533206,-1.256671,-0.072994,0.131962
-0.416588,0.350581,0.561839,-1.235174,-0.064509,0.164049
-0.392051,0.360675,0.586798,-1.212405,-0.056178,0.192316
