pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
-0.546715,0.219949,-0.121128,-1.356527,-0.225828,-0.504554
-0.584622,0.225759,-0.100136,-1.395075,-0.219330,-0.485581
-0.625107,0.230554,-0.078584,-1.434819,-0.213570,-0.468403
-0.666720,0.233424,-0.059122,-1.477899,-0.209116,-0.447957
-0.711060,0.235884,-0.040006,-1.523182,-0.205444,-0.427638
-0.757491,0.237888,-0.020941,-1.569197,-0.203701,-0.410297
-0.807196,0.239731,-0.002053,-1.617302,-0.202533,-0.391829
-0.857280,0.240711,0.017515,-1.666105,-0.201373,-0.373991
-0.907536,0.240521,0.039614,-1.714819,-0.199972,-0.357195
-0.957348,0.240297,0.061489,-1.765226,-0.197942,-0.333650
-1.007223,0.241086,0.083494,-1.813850,-0.196238,-0.315985
-1.056536,0.243154,0.104726,-1.861883,-0.195455,-0.294672
-1.104213,0.246388,0.121236,-1.905723,-0.194794,-0.280572
-1.149973,0.250285,0.139608,-1.947090,-0.194018,-0.267329
-1.188811,0.253879,0.148234,-1.985158,-0.193268,-0.256256
-1.226840,0.256119,0.160049,-2.021900,-0.191868,-0.245725
-1.262229,0.258725,0.169199,-2.058043,-0.190070,-0.233766
-1.298485,0.260736,0.182187,-2.093116,-0.187908,-0.222390
-1.330569,0.263674,0.187900,-2.127349,-0.185074,-0.210376
-1.363959,0.266153,0.197987,-2.158858,-0.182346,-0.202440
-1.395414,0.268475,0.209332,-2.188281,-0.179941,-0.197122
-1.421115,0.270387,0.213981,-2.214714,-0.177769,-0.194519
-1.444762,0.272026,0.216542,-2.238114,-0.175554,-0.190677
-1.464155,0.274451,0.221005,-2.259124,-0.173353,-0.182004
-1.480339,0.277210,0.222380,-2.275854,-0.170936,-0.177164
-1.493549,0.280210,0.220817,-2.289069,-0.167456,-0.178006
-1.504283,0.282651,0.217123,-2.299226,-0.164518,-0.185521
-1.513921,0.283225,0.209525,-2.310111,-0.162003,-0.193132
-1.524052,0.282957,0.199973,-2.321487,-0.160168,-0.205963
-1.533552,0.281139,0.181856,-2.335020,-0.159734,-0.216872
