,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Z_Distance,Distance,Angle,Yaw Heading_Diff,Pitch Heading_Diff,Speed_Diff,Sync
3,2021,08,03,21,Y,N,0,individual3xindividual6,3,,,,,,,,,0.22353496430659905
4,2021,08,03,21,Y,N,0,individual3xindividual6,4,,,,,,,,,0.22353496430659905
5,2021,08,03,21,Y,N,0,individual3xindividual6,5,,,,,,,,,0.3496912290016992
6,2021,08,03,21,Y,N,0,individual3xindividual6,6,,,,,,,,,0.4863374047123912
7,2021,08,03,21,Y,N,0,individual3xindividual6,7,,,,,,,,,0.8730142242577881
8,2021,08,03,21,Y,N,0,individual3xindividual6,8,,,,,,,,,0.877014718984804
9,2021,08,03,21,Y,N,0,individual3xindividual6,9,0.07752219644287459,0.8679852124065104,-2.849817545415302,0.8714401986927747,84.68251063879751,12.302492479326034,26.007118912953523,0.7509529742114057,0.878615537183953
10,2021,08,03,21,Y,N,0,individual3xindividual6,10,0.24643594148370673,0.7421000100409941,-2.5090762713873596,0.7819482707684726,71.60724527778187,8.939982823039731,45.68490259132249,-0.8566159390581483,0.8803942240718966
11,2021,08,03,21,Y,N,0,individual3xindividual6,11,0.3755582738074406,0.7090271655519115,-1.920933702398323,0.8023487636407264,62.24773282312148,10.199144963406658,43.50126715373955,-1.615305464594593,0.8803942240718966
12,2021,08,03,21,Y,N,0,individual3xindividual6,12,0.5723288179552559,0.6928256079890751,-0.6054135288236099,0.8986476500539531,50.534938815996576,6.289907220984484,46.754974006355326,-0.9345145183113622,0.9179124080892698
13,2021,08,03,21,Y,N,0,individual3xindividual6,13,0.7640181142951664,0.51730108132817,0.22728511111797184,0.9226722536818998,34.07233566944114,18.597135794420314,56.28155421697264,-0.8658866410966595,0.9258838728125118
0,2021,08,03,21,Y,N,0,individual3xindividual7,0,0.2922872056361211,-0.5730509133223792,-1.0917677951324734,0.6432877737359736,-64.14779176925968,60.28023427074427,34.89279778230123,1.5678946313658617,0.9183844626428046
1,2021,08,03,21,Y,N,0,individual3xindividual7,1,-0.09606363876643766,-0.3842282314959039,-0.9662643086680527,0.3960549918527963,-104.62293335610939,70.21620988657196,15.445449107613172,,0.9183844626428046
2,2021,08,03,21,Y,N,0,individual3xindividual7,2,,,,,,,,,0.9183844626428046
3,2021,08,03,21,Y,N,0,individual3xindividual7,3,,,,,,,,,0.9183844626428046
4,2021,08,03,21,Y,N,0,individual3xindividual7,4,,,,,,,,,0.9183844626428046
5,2021,08,03,21,Y,N,0,individual3xindividual7,5,-1.9843902863255416,1.5386608190199114,-0.6228451411573628,2.5110320436924316,142.31242657544917,77.72336923028331,20.566799571323166,0.3471614212292133,0.9160072361187845
6,2021,08,03,21,Y,N,0,individual3xindividual7,6,-1.724028123371232,1.8782884488410896,-0.26530969529212867,2.5495569158629894,132.5555302336364,43.8292412622317,24.5565093440452,0.7170837564617265,0.9142783441013156
7,2021,08,03,21,Y,N,0,individual3xindividual7,7,-1.5215652538061062,1.9629864576410576,-0.4320978471249501,2.4836418128369937,127.76013387869143,20.97571511454399,10.875884107641141,0.6361439295629128,0.9148806308217656
8,2021,08,03,21,Y,N,0,individual3xindividual7,8,,,,,,,,,0.9159131223425371
9,2021,08,03,21,Y,N,0,individual3xindividual7,9,-1.3943489314834527,1.7204243699513329,-0.9439106237769117,2.2145132547473017,129.03008491361962,19.052556843963227,8.907833723130341,0.0018244877042260228,0.5388512923795737
10,2021,08,03,21,Y,N,0,individual3xindividual7,10,-1.5358783435175472,1.486251289647738,-0.8999497421458923,2.1372564614630996,135.97353345665542,43.831264008918524,16.646685008395213,-1.1265887545108357,0.1198937035318371
11,2021,08,03,21,Y,N,0,individual3xindividual7,11,-1.6305305211559236,1.280069272566107,-0.9333347524215,2.0729706035033226,141.86681178050753,46.56524848864862,7.38944268327138,-0.7421641918829095,0.1198937035318371
12,2021,08,03,21,Y,N,0,individual3xindividual7,12,-1.7743314171333893,1.0250007291364305,-0.7669434263805387,2.049116510244548,150.02647258284446,,,-0.9308710370812942,0.8610358479260795
13,2021,08,03,21,Y,N,0,individual3xindividual7,13,-1.8443170979487424,0.6793396661458443,-0.7072361823521076,1.9654536218861076,159.78187565802477,49.19259832276814,5.290523338005119,0.00015030362034216727,1.0
0,2021,08,03,21,Y,N,0,individual3xindividual8,0,,,,,,,,,0.19448589054429863
1,2021,08,03,21,Y,N,0,individual3xindividual8,1,,,,,,,,,0.19448589054429863
2,2021,08,03,21,Y,N,0,individual3xindividual8,2,,,,,,,,,0.19448589054429863
3,2021,08,03,21,Y,N,0,individual3xindividual8,3,,,,,,,,,0.19448589054429863
4,2021,08,03,21,Y,N,0,individual3xindividual8,4,,,,,,,,,0.19448589054429863
5,2021,08,03,21,Y,N,0,individual3xindividual8,5,-2.5665383019028467,1.754198334925811,-0.6503934691054407,3.1087506579638764,145.6664239158671,70.23483910073301,31.176250694525162,,0.2264800425434107
6,2021,08,03,21,Y,N,0,individual3xindividual8,6,,,,,,,,,0.3287223570693638
7,2021,08,03,21,Y,N,0,individual3xindividual8,7,-2.2246218103956474,1.8647161438902857,-2.7566430908277355,2.9027759983459047,140.00452205000434,13.413381093558947,32.87917998609828,1.8736966551689174,1.0
8,2021,08,03,21,Y,N,0,individual3xindividual8,8,,,,,,,,,1.0
9,2021,08,03,21,Y,N,0,individual3xindividual8,9,-1.310408614383195,1.846516780234517,-2.9155368191078703,2.2642426893637824,125.2741524291188,52.45991362589117,57.456904041468924,0.25120088959450615,1.0
10,2021,08,03,21,Y,N,0,individual3xindividual8,10,-0.9834070232040438,1.710037056687378,-2.582955749606766,1.9726419108725914,119.85307038652368,45.569265712572104,62.75636394836586,0.12010341584043842,1.0
11,2021,08,03,21,Y,N,0,individual3xindividual8,11,,,,,,,,,1.0
12,2021,08,03,21,Y,N,0,individual3xindividual8,12,-0.6310245111228135,1.3172896457246153,-1.4806403330131672,1.4606313512899374,115.55265348371543,20.85529905739736,54.356951880843326,0.8704810684326447,0.9047553523793503
13,2021,08,03,21,Y,N,0,individual3xindividual8,13,-0.39091227623058095,0.999799873814149,-1.0667191912422993,1.073504632214767,111.25057786034672,9.857387509965875,57.24320697868515,0.10361388262770034,0.5355576155648695
0,2021,08,03,21,Y,N,0,individual4xindividual5,0,2.614800774898575,-0.6869441230052903,-0.7400711894409128,2.7035301589850436,-14.918594993710812,152.67686762142358,19.857119965011837,-0.249957481092957,0.40871622378418754
1,2021,08,03,21,Y,N,0,individual4xindividual5,1,1.9639545104566813,-1.1862022146002793,-0.9238555964243034,2.2943829264239546,-31.396997126269273,138.44545936108392,19.306685878628173,0.9450010328667581,0.5245199753893152
2,2021,08,03,21,Y,N,0,individual4xindividual5,2,1.243564528223821,-1.4939311527919386,-0.9605568801077154,1.9437806010809928,-50.46240442359774,155.2640429958685,26.312363921807158,1.1657547435923503,0.5879944453096584
3,2021,08,03,21,Y,N,0,individual4xindividual5,3,,,,,,,,,0.5725132599114403
4,2021,08,03,21,Y,N,0,individual4xindividual5,4,,,,,,,,,0.4700765238522139
5,2021,08,03,21,Y,N,0,individual4xindividual5,5,,,,,,,,,0.5535815848109454
6,2021,08,03,21,Y,N,0,individual4xindividual5,6,,,,,,,,,0.5535815848109454
7,2021,08,03,21,Y,N,0,individual4xindividual5,7,-1.464974530224886,-0.2803907231655058,-1.7457719579989992,1.4915660668722994,-169.51100801621905,58.66283713384526,59.53646809865195,2.4763634456340085,0.5084455179485116
8,2021,08,03,21,Y,N,0,individual4xindividual5,8,,,,,,,,,0.38206453073369734
9,2021,08,03,21,Y,N,0,individual4xindividual5,9,-1.065685229984828,0.2600669590370791,0.47204524754962063,1.0969593577660977,166.31552746130035,37.13943508213914,70.35004005575797,1.0276459835457563,0.3335861206310066
0,2021,08,03,21,Y,N,0,individual4xindividual6,0,2.5731850998523207,0.08912654326245528,0.31058178089304994,2.5747281601784513,1.9315632038826098,71.99452424920928,18.112082496254672,0.1578729509927694,0.7645837861191324
1,2021,08,03,21,Y,N,0,individual4xindividual6,1,2.1491390417505047,-0.04748011639816123,0.4187529696737724,2.1496634578997385,-1.3262629873350367,85.93724709347458,19.44769719163239,1.379563255125969,0.8128701088446104
2,2021,08,03,21,Y,N,0,individual4xindividual6,2,1.6194552935282436,-0.11740275767347813,0.4190988566774572,1.6237052858342202,-4.250946515882645,109.70651053345566,18.487013843799485,1.3592591303735266,0.7985907911913325
3,2021,08,03,21,Y,N,0,individual4xindividual6,3,0.9905477186100294,-0.07833164020364293,0.26683350103608544,0.9936400901234446,-4.650180930436918,134.57707857408028,12.571877831676114,0.9315585518879014,0.7192024050452958
4,2021,08,03,21,Y,N,0,individual4xindividual6,4,,,,,,,,,0.6628868770125745
5,2021,08,03,21,Y,N,0,individual4xindividual6,5,,,,,,,,,0.7069508707538799
6,2021,08,03,21,Y,N,0,individual4xindividual6,6,,,,,,,,,0.7093170439282696
7,2021,08,03,21,Y,N,0,individual4xindividual6,7,,,,,,,,,0.7380270112048922
8,2021,08,03,21,Y,N,0,individual4xindividual6,8,,,,,,,,,0.8184149195794359
9,2021,08,03,21,Y,N,0,individual4xindividual6,9,-0.16651669581059017,0.2745957247083088,-1.6256222226776351,0.3211395678077647,120.174995492775,16.47818089610485,80.4027662663854,2.288569427978431,0.8124915600858097
0,2021,08,03,21,Y,N,0,individual4xindividual7,0,0.9916298206349686,0.3752587111839616,-0.5899353147388006,1.0602588370261234,20.711089977463587,19.724236885305572,10.650398368542362,0.540942983886384,0.6034265226341319
1,2021,08,03,21,Y,N,0,individual4xindividual7,1,0.856417377914945,0.36443407333707056,-0.7419560605213489,0.9307324637100389,23.29497889591761,27.415396927924874,30.05164269913371,1.906038595731943,0.7053319521419441
2,2021,08,03,21,Y,N,0,individual4xindividual7,2,,,,,,,,,0.8309884126652621
3,2021,08,03,21,Y,N,0,individual4xindividual7,3,,,,,,,,,0.8776580768689066
4,2021,08,03,21,Y,N,0,individual4xindividual7,4,,,,,,,,,0.5612771918967107
5,2021,08,03,21,Y,N,0,individual4xindividual7,5,,,,,,,,,0.39892059311083555
6,2021,08,03,21,Y,N,0,individual4xindividual7,6,,,,,,,,,0.40152405602758706
7,2021,08,03,21,Y,N,0,individual4xindividual7,7,-1.8066483340878776,1.1352088520963768,-1.9612572151838776,2.1337003868726456,147.84487519259554,37.81581738030022,62.55564591658727,2.0504746871661017,0.3865636655912897
8,2021,08,03,21,Y,N,0,individual4xindividual7,8,,,,,,,,,0.34467457236965704
9,2021,08,03,21,Y,N,0,individual4xindividual7,9,-1.6383878237369174,1.1270348822531315,0.28028469896075503,1.9885980706982298,145.46746412591764,2.4751357589321183,71.48798852673097,1.5394409414712515,0.31220377992178683
0,2021,08,03,21,Y,N,0,individual4xindividual8,0,,,,,,,,,0.6945558536532287
1,2021,08,03,21,Y,N,0,individual4xindividual8,1,,,,,,,,,0.8195244048331508
2,2021,08,03,21,Y,N,0,individual4xindividual8,2,,,,,,,,,0.9148209791259901
3,2021,08,03,21,Y,N,0,individual4xindividual8,3,-0.5187847601681695,0.8943643641700543,-0.08091598738872477,1.0339367694787,119.34554158674939,162.18252139663682,21.505567094341842,-2.4316797759431457,0.9057406298651077
4,2021,08,03,21,Y,N,0,individual4xindividual8,4,,,,,,,,,0.9057406298651077
5,2021,08,03,21,Y,N,0,individual4xindividual8,5,,,,,,,,,0.3568435969655994
6,2021,08,03,21,Y,N,0,individual4xindividual8,6,,,,,,,,,0.3263493173600712
7,2021,08,03,21,Y,N,0,individual4xindividual8,7,-2.5097048906774186,1.0369385383456045,-4.285802458886663,2.715485255087288,157.4959398773085,34.56190637403054,24.838541421851332,3.288027412772106,0.3518733016069654
8,2021,08,03,21,Y,N,0,individual4xindividual8,8,,,,,,,,,0.4233404574982693
9,2021,08,03,21,Y,N,0,individual4xindividual8,9,-1.5544475066366596,1.2531272925363157,-1.6913414963702038,1.996655969912775,141.00466523204028,71.47656252989351,131.43516733219107,1.788817343361532,0.4233404574982693
0,2021,08,03,21,Y,N,0,individual5xindividual6,0,-0.041615675046254276,0.7760706662677455,1.0506529703339624,0.7771856557160701,93.76108551650005,80.69909779778534,20.549955916752722,0.4078304320857264,0.7418841565584376
1,2021,08,03,21,Y,N,0,individual5xindividual6,1,0.18518453129382362,1.138722098202118,1.3426085660980758,1.1536816404729457,80.93189998737834,52.50725252560398,21.429565022922493,0.43456222225921093,0.47372765355274293
2,2021,08,03,21,Y,N,0,individual5xindividual6,2,0.3758907653044225,1.3765283951184604,1.379655736785173,1.4269282708000948,74.77848782526954,45.54679482891082,12.638715460859364,0.19350438678117673,0.3975324663454806
3,2021,08,03,21,Y,N,0,individual5xindividual6,3,,,,,,,,,0.3975324663454806
4,2021,08,03,21,Y,N,0,individual5xindividual6,4,,,,,,,,,0.37692471035932196
5,2021,08,03,21,Y,N,0,individual5xindividual6,5,,,,,,,,,0.3833049784865839
6,2021,08,03,21,Y,N,0,individual5xindividual6,6,,,,,,,,,0.3985718462415409
7,2021,08,03,21,Y,N,0,individual5xindividual6,7,,,,,,,,,0.3413729560687424
8,2021,08,03,21,Y,N,0,individual5xindividual6,8,0.7094772542713643,0.22418553147708165,-2.5474399220553847,0.7440545187364268,17.695444052343106,28.683179367793564,36.47929805004889,-0.6133601648753059,0.33147614700980227
9,2021,08,03,21,Y,N,0,individual5xindividual6,9,0.8991685341742377,0.01452876567122966,-2.0976674702272557,0.8992859044158186,1.2614261932057333,20.688390915320806,24.043935547282327,1.2609234444326751,0.38253556899122393
10,2021,08,03,21,Y,N,0,individual5xindividual6,10,1.2228832301699752,-0.17896849649218308,-1.378772094747135,1.235909833834016,-8.35728409443321,12.48796057689298,71.32334700447154,-0.17875850853544265,0.4014011651015134
11,2021,08,03,21,Y,N,0,individual5xindividual6,11,1.6061267076186783,-0.14170648790476784,-0.8262373286666861,1.6123658795820257,-5.217725150181795,27.40463790253762,60.93481148530158,-1.0772249401921625,0.6769172229870614
12,2021,08,03,21,Y,N,0,individual5xindividual6,12,1.9278894642553701,0.03406374380989639,0.08640487125850971,1.9281903757225851,0.9545308712311001,32.831059559321496,62.202978742491375,-1.5471208572856976,0.9621215650118019
13,2021,08,03,21,Y,N,0,individual5xindividual6,13,2.084262115180545,0.16956047220869405,0.9116876227253905,2.091147847119499,4.6465743953714,18.493614437600428,62.93843557039495,-0.8052481678314173,0.9621215650118019
0,2021,08,03,21,Y,N,0,individual5xindividual7,0,-1.6231709542636064,1.062202834189252,0.15013587470211223,1.9398347372198246,146.77351901959992,132.94674292862013,19.595107858101848,0.7909004649793411,0.9998036351224134
1,2021,08,03,21,Y,N,0,individual5xindividual7,1,-1.1075371325417365,1.55063628793735,0.1818995359029544,1.905547532187769,125.57628477922992,110.99084463060159,31.143568922210495,0.9610375628651855,0.9665063292305722
2,2021,08,03,21,Y,N,0,individual5xindividual7,2,,,,,,,,,0.9204525319226086
3,2021,08,03,21,Y,N,0,individual5xindividual7,3,,,,,,,,,0.9204525319226086
4,2021,08,03,21,Y,N,0,individual5xindividual7,4,,,,,,,,,0.369549199863895
5,2021,08,03,21,Y,N,0,individual5xindividual7,5,,,,,,,,,0.20438804416315404
6,2021,08,03,21,Y,N,0,individual5xindividual7,6,-0.4295518679140784,1.7074745959178106,0.0501326311761341,1.7606772284928218,104.0503758030128,17.775299757939308,12.861598661354769,0.6888643520413694,0.23948808229674087
7,2021,08,03,21,Y,N,0,individual5xindividual7,7,-0.3416738038629916,1.4155995752618824,-0.21548525718487804,1.4562496852284048,103.63198497628032,20.876307236936313,10.853136824997446,-0.4258887584679069,0.48200806308242766
8,2021,08,03,21,Y,N,0,individual5xindividual7,8,-0.4306756915463347,1.1423613240661736,-0.29127690233957615,1.2208484533352757,110.82214227415601,33.47960857588184,6.571578382279292,-1.1510429088881098,0.5314796135109652
9,2021,08,03,21,Y,N,0,individual5xindividual7,9,-0.5727025937520897,0.8669679232160521,-0.1917605485888656,1.0390484304284981,123.7114662945464,37.1803599159025,17.22198383071945,0.5117949579254955,0.2563544800426197
10,2021,08,03,21,Y,N,0,individual5xindividual7,10,-0.5594310548312784,0.5651827831145606,0.23035443449433257,0.7952324713181406,134.7913158796177,31.477630263022924,33.75518465540091,-0.44873132398812965,0.18514249648504688
11,2021,08,03,21,Y,N,0,individual5xindividual7,11,-0.39996208734468575,0.4293356191094278,0.16136162131013676,0.5867697548009727,132.90851112921266,13.535055882222952,13.318741309840094,-0.204083667480479,0.8284510518915887
12,2021,08,03,21,Y,N,0,individual5xindividual7,12,-0.4187707708332753,0.36623886495725166,-0.07512502629841916,0.5563271202354524,138.7082439177897,,,-1.54347737605563,0.9999999999999998
13,2021,08,03,21,Y,N,0,individual5xindividual7,13,-0.524073097063364,0.3315990570263684,-0.022833670744688797,0.6201697716644716,147.61266344207266,12.105783704930376,10.42218850221857,0.06078877688558451,0.9999999999999998
0,2021,08,03,21,Y,N,0,individual5xindividual8,0,,,,,,,,,0.7123512061559756
