,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Heading,Speed,TB_Frequency,Fish_Length
7,2021,03,25,10,N,N,0,individual5,7,1357.065789473684,611.9637368421052,155.3270763866719,1.87653890456046,1.7647058823529413,1.7647058823529413
8,2021,03,25,10,N,N,0,individual5,8,1261.5110000000002,634.9902631578947,-178.93710938864945,1.7271559854903682,3.6222910216718267,3.6222910216718267
9,2021,03,25,10,N,N,0,individual5,9,1139.842894736842,620.6751578947369,-170.60904340584,2.45091313940262,4.385964912280701,4.385964912280701
10,2021,03,25,10,N,N,0,individual5,10,1007.4356692845594,605.3794090607072,-173.44838787488266,1.9013778572111946,3.259464450600184,3.259464450600184
11,2021,03,25,10,N,N,0,individual5,11,,,,,2.976580206497104,2.976580206497104
12,2021,03,25,10,N,N,0,individual5,12,822.9695789473684,595.9718421052631,-178.07839383548327,1.262398904129642,2.5943646996278575,2.5943646996278575
13,2021,03,25,10,N,N,0,individual5,13,753.551947368421,590.9912631578947,-175.52492778019317,1.0041693992238927,2.2222222222222223,2.2222222222222223
14,2021,03,25,10,N,N,0,individual5,14,697.0162105263157,588.3281052631578,-179.0447953326889,0.8657009834770311,2.5476735316552253,2.5476735316552253
15,2021,03,25,10,N,N,0,individual5,15,649.3136842105263,588.5197368421052,-172.39422325047198,0.7350872632036379,2.364607170099161,2.364607170099161
16,2021,03,25,10,N,N,0,individual5,16,625.683947368421,511.05800000000005,-102.1148468385972,2.548254832850511,2.2222222222222223,2.2222222222222223
17,2021,03,25,10,N,N,0,individual5,17,577.0330526315789,386.791,-111.55166710603164,1.914239234105923,2.2222222222222223,2.2222222222222223
18,2021,03,25,10,N,N,0,individual5,18,551.1561052631579,297.05626315789476,-79.8938320060184,1.5889217959152546,2.2222222222222223,2.2222222222222223
0,2021,03,25,10,N,N,0,individual6,0,554.7406842105264,295.24926315789475,150.61480405216741,1.07157576956529,5.146198830409358,5.146198830409358
1,2021,03,25,10,N,N,0,individual6,1,494.6809473684211,318.73673684210524,154.0762842552083,1.0400338479303877,2.03083466241361,2.03083466241361
2,2021,03,25,10,N,N,0,individual6,2,453.2608421052632,353.4245263157895,110.72445238720847,1.3891234487659738,1.8181818181818183,1.8181818181818183
3,2021,03,25,10,N,N,0,individual6,3,449.80905263157894,441.3486842105263,83.9947601077687,1.707988618440142,3.079088094567971,3.079088094567971
4,2021,03,25,10,N,N,0,individual6,4,474.48163157894743,527.027052631579,77.53182643724207,1.375984137144614,1.2309597523219815,1.2309597523219815
5,2021,03,25,10,N,N,0,individual6,5,484.86784210526315,594.111157894737,79.38626041987838,0.8810866555574381,0.8000000000000002,0.8000000000000002
6,2021,03,25,10,N,N,0,individual6,6,489.0606315789474,633.3294210526316,75.2182265786656,0.5837903250316878,0.8000000000000002,0.8000000000000002
7,2021,03,25,10,N,N,0,individual6,7,513.269,658.5582105263157,38.01569185132632,1.4028976445797354,0.8000000000000002,0.8000000000000002
8,2021,03,25,10,N,N,0,individual6,8,618.8028947368421,699.4042105263158,23.29427992422819,2.2947997726388336,4.1192982456140355,4.1192982456140355
9,2021,03,25,10,N,N,0,individual6,9,739.4262105263159,707.7284736842106,-11.156270018850128,2.1302626769522592,2.9573934837092737,2.9573934837092737
