,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Z,Yaw Heading,Pitch Heading,Speed,TB_Frequency,Fish_Length
1,2021,08,03,21,Y,N,0,individual4,1,0.047501131939700944,0.054887775851244804,0.022503914348111477,117.47357122837104,101.01432906298349,3.133928243655201,2.6879699248120295,2.6879699248120295
2,2021,08,03,21,Y,N,0,individual4,2,0.024606132430515733,0.06977324381389863,0.012035301012279771,141.42478067938683,101.65326085503841,3.0159553286084892,2.3759398496240602,2.3759398496240602
3,2021,08,03,21,Y,N,0,individual4,3,-0.006255311734812384,0.07469464045068731,-0.0015478315366038537,167.00509982189428,105.40942637451639,2.2226182405671056,1.7142857142857142,1.7142857142857142
4,2021,08,03,21,Y,N,0,individual4,4,,,,,,,5.984962406015038,5.984962406015038
5,2021,08,03,21,Y,N,0,individual4,5,,,,,,,2.1671826625387003,2.1671826625387003
6,2021,08,03,21,Y,N,0,individual4,6,,,,,,,1.1764705882352942,1.1764705882352942
7,2021,08,03,21,Y,N,0,individual4,7,-0.045568891108086075,0.02289819086260113,-0.0455783148278464,-23.52229261185406,36.15580189296534,5.270159880067267,1.261609907120743,1.261609907120743
8,2021,08,03,21,Y,N,0,individual4,8,,,,,,,1.5,1.5
9,2021,08,03,21,Y,N,0,individual4,9,0.03367720509102417,0.02578727658409425,0.11132484901558597,6.4988908308119955,25.80605864155675,3.788916405702328,1.7142857142857142,1.7142857142857142
10,2021,08,03,21,Y,N,0,individual4,10,0.05467927859539437,0.03415936516172702,0.14317029231294737,17.117942178794227,30.941659200692484,2.23717563730698,2.8646616541353382,2.8646616541353382
11,2021,08,03,21,Y,N,0,individual4,11,0.06671363236332717,0.04941189503641472,0.13776155239477023,42.90250463896615,82.53662221299301,2.0628427395541338,3.0,3.0
12,2021,08,03,21,Y,N,0,individual4,12,0.07857730718510283,0.06880688164985367,0.11862367664963917,53.05162804810852,133.12624768201826,1.9552348771708223,1.1764705882352942,1.1764705882352942
13,2021,08,03,21,Y,N,0,individual4,13,0.09248456851683068,0.08238794724344296,0.09318929370566313,40.79087126326028,145.12294542512592,2.1057430233226238,1.1764705882352942,1.1764705882352942
14,2021,08,03,21,Y,N,0,individual4,14,,,,,,,2.0681114551083595,2.0681114551083595
15,2021,08,03,21,Y,N,0,individual4,15,,,,,,,2.5964912280701755,2.5964912280701755
16,2021,08,03,21,Y,N,0,individual4,16,0.1485448232358747,0.05883157573421119,0.11801771531605043,-30.002927613635205,38.82341420975674,2.7506203252140184,1.333333333333333,1.333333333333333
17,2021,08,03,21,Y,N,0,individual4,17,0.15796906209770953,0.04783079730207015,0.13508221534070666,-50.57274937730549,51.26283110621011,1.8019457119592979,1.333333333333333,1.333333333333333
0,2021,08,03,21,Y,N,0,individual5,0,-0.12795692136204856,-0.017520032363038385,0.08443905438446592,-46.02837728940145,86.01710708116629,2.221482742698303,10.701754385964913,10.701754385964913
1,2021,08,03,21,Y,N,0,individual5,1,-0.09380539508765738,-0.0304594734892454,0.08897532451084014,-20.962258888094283,87.29927445900452,2.1889272107884303,8.245614035087721,8.245614035087721
2,2021,08,03,21,Y,N,0,individual5,2,-0.06486833537518828,-0.03771510262948144,0.08114736853602988,-13.830436426092637,95.3981821513085,1.8502005850161236,1.3953488372093021,1.3953488372093021
3,2021,08,03,21,Y,N,0,individual5,3,,,,,,,1.3953488372093021,1.3953488372093021
4,2021,08,03,21,Y,N,0,individual5,4,-0.0200210298399369,-0.04651501509958723,0.0710857584361747,-10.126787260740322,94.69120091052751,1.317227636505565,2.2093023255813953,2.2093023255813953
5,2021,08,03,21,Y,N,0,individual5,5,,,,,,,2.0445344129554655,2.0445344129554655
6,2021,08,03,21,Y,N,0,individual5,6,0.028564574865709968,-0.019235728780602066,0.08936334698725211,30.447341294976653,99.22737559447401,2.543915002529328,1.5384615384615388,1.5384615384615388
7,2021,08,03,21,Y,N,0,individual5,7,0.059836026341594566,0.0027240783308429594,0.08002997755018162,35.14872570719072,95.68878174928902,2.7937964344331916,2.9959514170040484,2.9959514170040484
8,2021,08,03,21,Y,N,0,individual5,8,0.08578573551583846,0.022477727964495143,0.0750426154178441,38.74634651107163,99.60464427871356,2.1030296733667475,6.491228070175438,6.491228070175438
9,2021,08,03,21,Y,N,0,individual5,9,0.11035325738843255,0.04449909428681207,0.0773611934543908,43.64334681810869,96.12487579597693,2.761270422156567,2.0720720720720722,2.0720720720720722
10,2021,08,03,21,Y,N,0,individual5,10,0.13949885602386325,0.06727923024899583,0.08932532225409133,35.54295609907076,70.46636979172573,2.240290964357482,1.6216216216216217,1.6216216216216217
