,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,Z_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area
16,2021,08,03,11,16,Y,N,2,0.1169404412424563,0.06972634946487719,0.849758940806142,0.6655248248123214,1.0461060608518296,0.49161232002713157,2.30769988362808,1.7569292805945065,3472.0774934560445,0.12770662560274207
17,2021,08,03,11,17,Y,N,2,0.11485445573713168,0.07722030740052727,0.8929392799209654,0.6320391874542542,0.999894170778151,0.544571234888875,2.5123298894111623,2.7814650995362604,2832.4942491838437,0.11584869584166575
18,2021,08,03,11,18,Y,N,2,0.11817398233236849,0.07354861474851156,0.8871048458367176,0.673457126012924,1.095387846642252,0.6970190514502905,2.6197687506883036,2.4743156000687834,549.1631782011114,0.24131816420396868
19,2021,08,03,11,19,Y,N,2,0.1183524645414052,0.059981955606761166,1.0053308209147176,0.6604139593245598,1.4422373954278132,0.6786228530829066,3.474003962677203,5.995297971375453,549.3191887109829,0.37823385410611404
0,2021,10,08,27,0,N,Y,0,0.12097945631438893,-0.03460637270753542,1.2450148676949897,0.8922890555039349,1.0362943346513236,0.327116387079048,6.733398465592916,3.1308688881138305,2193.4810883077457,0.31099015194069785
1,2021,10,08,27,1,N,Y,0,0.10619697454921095,-0.03747417030825518,1.5710412111280978,0.9003949192338724,1.05682352133272,0.3256238011839858,14.019525597081314,3.2486568619734633,2559.1228943379874,0.41722063305779217
2,2021,10,08,27,2,N,Y,0,0.11305126510024956,-0.05106553838069165,1.6260574593397439,0.8607741522061424,0.9262567299334697,0.24610028700468606,12.189248723529802,2.0575754385586302,1737.1043629251815,0.5124290797770924
3,2021,10,08,27,3,N,Y,0,0.13992174509179542,-0.05186140943513925,1.3280117096393838,0.8480880585288936,0.6444898182045846,0.27251373571363086,12.5645963988572,1.9313266041722665,2924.288378682178,0.17911018915821783
4,2021,10,08,27,4,N,Y,0,0.14824282465577937,-0.0629158354506407,1.1784288497045874,0.7827347916443801,0.46587159699481867,0.24517486786181772,8.427938786064528,2.5298693874532776,4020.2213506855937,0.08157737787485465
5,2021,10,08,27,5,N,Y,0,0.13381087939322214,-0.05871449039934724,1.0242175504991557,0.7086328169200236,0.4911048221691661,0.29607741447434566,6.586476480635346,2.313740593571254,3015.324723342805,0.09187937786668286
6,2021,10,08,27,6,N,Y,0,0.10085728535567569,-0.05161075013011771,1.535227713913122,0.8200999839014184,1.099198766479157,0.25551587400232467,9.738676000473056,1.7896251525429612,3472.308784767475,0.31417149962741453
7,2021,10,08,27,7,N,Y,0,0.1235609555202715,-0.09049806952940985,1.392774944362528,0.5314634368018339,2.324714323773763,0.258905494509787,1.7639497419219143,2.4348538076553585,1828.488758145426,0.5168982840111159
8,2021,10,08,27,8,N,Y,0,0.11498121962584289,-0.10406470127781575,1.567886177192945,0.48354500254483274,2.7603523577043756,0.3085335601154892,3.187003522206686,2.27060878649436,1920.1221330400022,0.6768816405612504
9,2021,10,08,27,9,N,Y,0,0.09757794910856257,-0.11181548755861033,1.6215313666327844,0.50977453412097,2.75318730536209,0.3476695136281083,3.7704131381358477,2.5759969494316204,2011.5691840727359,0.7113257941825981
10,2021,10,08,27,10,N,Y,0,0.0838052386196285,-0.13223360394305353,1.6342767891896497,0.5395247509888038,2.7991077665912925,0.42229472585911987,2.710986634786881,2.8280125033172974,1828.9375680174646,0.7344944960749368
