,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Speed_Diff,Sync
4,2021,10,06,39,Y,N,0,individual2xindividual7,4,-0.3070826288519225,0.6178014725934006,0.6899118787795887,116.63670500863499,25.9706088853555,0.6868153198752226,0.7214702152517715
0,2021,10,06,39,Y,N,0,individual8xindividual2,0,-1.322901008999182,0.8093858740114535,1.5508618805878034,148.46804642519288,,-0.7060056314954499,0.5997702081839265
1,2021,10,06,39,Y,N,0,individual8xindividual2,1,-1.776810744477775,0.668435778565585,1.8983842634614956,159.29123892697285,,-0.18546240825509966,0.5878956076058238
2,2021,10,06,39,Y,N,0,individual8xindividual2,2,-2.050631578947369,0.5361221707117535,2.11955581537851,165.38050116210897,75.76529396980432,0.6298182976870946,0.4869615026919517
3,2021,10,06,39,Y,N,0,individual8xindividual2,3,,,,,,,0.43676092358805585
4,2021,10,06,39,Y,N,0,individual8xindividual2,4,,,,,,,0.47225708525443544
5,2021,10,06,39,Y,N,0,individual8xindividual2,5,,,,,,,0.5221557188637244
6,2021,10,06,39,Y,N,0,individual8xindividual2,6,-1.85947777474775,0.2272609762748841,1.8733139475587794,173.02915108357095,,-0.17461951330644862,0.5221557188637244
7,2021,10,06,39,Y,N,0,individual8xindividual2,7,-1.9210526315789473,0.23070384510499048,1.934855931960472,173.189824719861,9.613635735680129,0.12321504373541022,0.5221557188637244
8,2021,10,06,39,Y,N,0,individual8xindividual2,8,-2.0516544859558214,0.3865380419961822,2.0877494551916156,169.331762871793,28.398941943165674,-0.027556342001431266,0.5998799172829904
0,2021,10,06,39,Y,N,0,individual3xindividual4,0,-0.7139473684210526,0.886892282519771,1.138551169543326,128.70452432123383,142.6476017977824,0.2818004858194801,0.15696350565268127
1,2021,10,06,39,Y,N,0,individual3xindividual4,1,,,,,,,0.15696350565268127
2,2021,10,06,39,Y,N,0,individual3xindividual4,2,-1.065170439050995,0.6558137442050721,1.2508715886598294,148.34117358733533,91.79058065610268,-0.13371274909735464,0.258375771217932
3,2021,10,06,39,Y,N,0,individual3xindividual4,3,-1.0308598309244614,0.5933556040359967,1.1894296380427603,149.89644492762102,57.43269511618271,-0.7886097370102696,0.47810234660930856
4,2021,10,06,39,Y,N,0,individual3xindividual4,4,-0.8949593673302428,0.44953040632669755,1.00151378192434,153.4045967435787,43.86995988182123,-0.0943952942316499,0.3666195371776927
5,2021,10,06,39,Y,N,0,individual3xindividual4,5,-0.9007932915189528,0.37030079083719664,0.9739359474525018,157.65645745692555,43.46101510145411,-0.019005013485892047,0.3604260477648251
6,2021,10,06,39,Y,N,0,individual3xindividual4,6,,,,,,,0.6289233345999755
7,2021,10,06,39,Y,N,0,individual3xindividual4,7,,,,,,,0.78554675192048
8,2021,10,06,39,Y,N,0,individual3xindividual4,8,-0.9799858194709571,0.47099045541314427,1.0872921481618656,154.38008766633342,10.095802800604792,0.03654399081072971,0.7897953743064443
9,2021,10,06,39,Y,N,0,individual3xindividual4,9,-1.0538344695936732,0.6277892009817289,1.2266565820037227,149.23071834790957,8.637379193328284,0.050752217882943186,0.8016915169871449
0,2021,10,06,39,Y,N,0,individual3xindividual5,0,1.5706512135260429,0.8408819198254706,1.7815800957689778,28.160464869662693,7.4550198209841865,-0.06500458513731591,0.36109019267221737
1,2021,10,06,39,Y,N,0,individual3xindividual5,1,1.6385582219798198,0.8809435505863104,1.8603587251219276,28.263909615718156,6.721505244892797,-0.28365137548250274,0.36109019267221737
2,2021,10,06,39,Y,N,0,individual3xindividual5,2,1.7306610308153807,0.8930073629670029,1.947472658061272,27.294118229238762,4.234409880344393,-0.2836411570029469,0.39457107181021267
3,2021,10,06,39,Y,N,0,individual3xindividual5,3,,,,,,,0.4671129766092024
4,2021,10,06,39,Y,N,0,individual3xindividual5,4,1.8560994578402514,0.819736378216025,2.0290571522669345,23.82832661421378,12.838717063388907,-0.5317084772165002,0.2263972425550378
5,2021,10,06,39,Y,N,0,individual3xindividual5,5,,,,,,,0.24770718995008764
6,2021,10,06,39,Y,N,0,individual3xindividual5,6,1.9204457400031076,0.8000681483080044,2.080437666029214,22.616860485798306,,-0.24017950400479493,0.38069994428443615
7,2021,10,06,39,Y,N,0,individual3xindividual5,7,1.8851840741750747,,,,,,0.7398122716168034
8,2021,10,06,39,Y,N,0,individual3xindividual5,8,1.5052827924734118,0.39964521407144804,1.5574314053744924,15.108196373258217,119.75714968136631,-0.9520178805034145,0.9953343581855748
9,2021,10,06,39,Y,N,0,individual3xindividual5,9,0.8848557403872375,0.3321257158440141,0.9451334151436743,20.83010434158025,168.11793446460248,-0.49828737883514396,0.9953343581855748
0,2021,10,06,39,Y,N,0,individual6xindividual3,0,-1.1520859012817015,-0.2813021543496046,1.1859312062568381,-166.40562152499584,136.8121916627095,-0.010061045824835255,0.17226082998342912
