Frame,Fish1_X,Fish1_Y,Fish2_X,Fish2_Y,Fish3_X,Fish3_Y,Fish4_X,Fish4_Y,Fish5_X,Fish5_Y,Fish6_X,Fish6_Y,Fish7_X,Fish7_Y,Fish8_X,Fish8_Y
184,,,587.038,183.144,1191.151,191.888,1580.268,722.616,1312.808,227.146,740.981,369.681,1365.565,406.205,1156.103,349.756
185,,,587.043,183.144,1197.433,193.038,1575.82,726.048,1313.642,226.153,746.315,370.665,1368.454,405.674,1165.82,352.516
186,,,587.534,183.144,1198.747,194.633,1572.088,727.559,1315.754,225.988,750.57,373.715,1375.103,404.97,1168.124,356.645
187,355.486,112.75,587.534,183.144,1204.962,195.707,1567.73,730.044,1318.351,225.791,754.329,374.741,1377.466,403.496,1170.574,359.495
188,355.486,112.383,587.534,183.144,1208.84,195.827,1563.735,733.162,1319.888,225.595,755.962,379.583,1381.899,401.469,1177.457,359.495
189,355.486,112.312,,,1213.425,196.386,1559.407,736.972,1322.106,225.084,761.981,380.446,1385.921,399.494,1182.726,359.495
190,355.489,112.312,,,1216.388,195.827,1555.393,738.336,1323.463,223.355,764.733,380.446,1388.717,397.65,1184.74,359.019
191,356.193,112.312,,,1221.237,196.386,1551.86,741.757,1324.465,223.355,770.719,380.446,1391.431,397.292,1191.801,358.11
192,356.221,112.312,,,1225.522,196.585,1547.93,745.832,1325.7,223.355,778.015,378.873,1395.534,395.248,1198.721,358.032
193,356.307,112.359,,,1230.94,197.392,1545.927,745.974,1326.096,222.727,784.205,376.724,1398.607,392.129,1206.699,357.419
194,357.027,112.812,,,1233.421,197.688,1543.356,747.658,1327.92,223.385,791.219,374.604,1401.466,391.079,1209.811,357.323
195,358.807,112.812,,,1238.259,200.826,1538.35,749.906,1330.261,223.516,798.842,370.683,1405.584,389.598,1216.738,356.614
196,360.459,112.812,,,1240.429,208.342,1535.377,749.91,1333.163,224.827,801.765,368.476,1406.305,387.71,1221.036,356.614
197,363.008,111.625,,,1240.759,219.98,1531.513,749.91,1338.25,227.344,810.939,367.853,1412.398,385.663,1226.035,357.323
198,366.451,111.625,,,1242.868,232.976,1524.817,749.91,1342.257,233.158,815.535,367.853,1417.483,384.974,1232.506,359.32
199,368.291,111.625,618.102,192.552,1244.99,240.115,1515.421,745.831,1344.449,240.211,821.323,368.476,1419.624,383.154,1237.627,360.093
200,372.301,112.665,618.102,191.609,1251.8,253.092,1507.067,736.759,1345.91,248.064,828.566,368.6,1422.622,382.728,1241.347,363.938
201,382.748,112.665,618.102,191.411,1256.522,256.667,1500.255,729.185,1348.374,254.773,833.14,369.244,1427.681,382.609,1246.427,364.911
202,390.23,112.665,618.699,191.609,1261.082,257.601,1491.239,722.38,1348.72,261.411,839.445,370.846,1429.209,381.01,1252.804,366.992
203,399.206,108.738,618.932,191.17,1269.539,264.348,1486.989,716.712,1350.047,263.332,848.313,372.474,1432.579,380.62,1258.142,367.409
204,404.492,108.566,620.728,190.509,1275.725,267.788,1479.473,711.457,1352.005,269.69,851.455,373.031,1435.203,378.167,1262.82,367.913
205,409.172,108.566,621.502,190.432,1284.061,275.188,1473.681,709.694,1354.031,272.789,859.918,373.615,1439.724,377.525,1267.322,367.913
206,413.948,108.566,621.511,190.421,1287.119,280.073,1469.856,705.108,1358.674,276.996,864.169,374.16,1443.837,376.942,1273.401,367.913
207,420.932,110.159,621.652,190.421,1298.265,288.07,1458.82,704.916,1360.546,280.101,870.935,374.26,1447.339,376.304,1278.238,367.913
208,425.183,110.159,621.691,190.432,1306.193,291.61,1456.31,702.584,1360.546,280.101,877.878,374.26,1448.946,375.627,1280.593,367.913
209,429.972,110.159,623.993,190.494,1310.46,296.319,1445.082,701.214,1360.546,283.471,883.128,374.706,1452.664,375.493,1287.834,368.662
210,433.422,110.159,626.707,190.653,1316.001,300.842,1438.28,700.364,,283.767,889.216,374.706,1458.151,375.277,1293.597,368.965
211,438.256,110.159,627.241,190.653,1323.588,300.842,1430.111,699.654,,291.581,898.165,374.706,1458.575,373.243,1295.565,371.47
212,440.827,110.764,627.241,190.494,1328.345,307.364,1423.631,697.976,1378.954201,295.6453497,899.732,374.706,1462.536,372.086,1302.456,377.837
213,442.512,111.016,627.241,188.507,1338.971,307.364,1416.568,697.461,,,906.352,375.107,1464.418,372.035,1307.349,381.033
