,Year,Month,Day,Trial,Individual,Tailbeat,Ablation,Darkness,Flow,Angle_to_NN,Angle_PS,Distance_to_NN,Acceleration
12,2024,01,19,06,individual1,13.0,Y,Y,2,-1.4006233406865238,-0.0010624119755010782,1.6738932674791691,0.001390388094099843
13,2024,01,19,06,individual1,14.0,Y,Y,2,-0.29773238815069153,-0.0022262998132540532,1.8247486054615571,-0.0013938311840547574
14,2024,01,19,06,individual1,15.0,Y,Y,2,-0.19422718268049857,-0.008916234842905777,1.6250653474064203,-2.241389156124028e-05
15,2024,01,19,06,individual1,16.0,Y,Y,2,-0.3028580024674326,-0.009808643198445847,1.345817185484433,0.001833880955983526
16,2024,01,19,06,individual1,17.0,Y,Y,2,-0.4382598289834359,0.005163821658136556,1.0513843366238749,-0.0018243109967699342
17,2024,01,19,06,individual1,18.0,Y,Y,2,-0.6565484037144411,-0.017279635980898808,0.8467535142879029,0.00021388006954425613
18,2024,01,19,06,individual1,19.0,Y,Y,2,-0.8572565352582513,-0.013104914959148787,0.7589897256995775,5.3573234036751266e-05
19,2024,01,19,06,individual1,20.0,Y,Y,2,-0.9867027999824338,-0.010787567585114781,0.8499339098901675,-0.0001494727676907324
20,2024,01,19,06,individual1,21.0,Y,Y,2,-1.0929834128899565,0.09427662886413524,1.0277131866610836,0.00017734048888687047
21,2024,01,19,06,individual1,22.0,Y,Y,2,-1.2158011013490124,-0.08235663620300487,1.2666630195701536,-0.00025600243087129423
22,2024,01,19,06,individual1,23.0,Y,Y,2,-1.325220539881481,0.0014352248429099434,1.4342027631779815,2.7078525131103482e-05
23,2024,01,19,06,individual1,24.0,Y,Y,2,-1.375163936576704,0.00277340747977776,1.52250684717563,5.0199266351414284e-05
24,2024,01,19,06,individual1,25.0,Y,Y,2,-1.388277485355032,-0.0009747686277638334,1.4454563393536262,-5.783493208100826e-05
25,2024,01,19,06,individual1,26.0,Y,Y,2,-1.2732213564923753,-0.008092374534622174,1.1445006920172822,0.0001278131278266051
26,2024,01,19,06,individual1,27.0,Y,Y,2,-1.0531686787978847,-0.013661157633209683,0.990163946144637,3.2260580807362803e-06
27,2024,01,19,06,individual1,28.0,Y,Y,2,-0.7870311588678525,0.09768797765825485,1.031524274849263,-8.54366272155977e-06
28,2024,01,19,06,individual1,29.0,Y,Y,2,-0.6055057941488831,0.002510171941605166,1.1396378917141006,0.0028919398484851867
29,2024,01,19,06,individual1,30.0,Y,Y,2,-0.4710610639062841,0.00023964386838115637,1.2904982935364502,-0.0013715063934105775
30,2024,01,19,06,individual1,31.0,Y,Y,2,,,1.3998585973993911,-0.0014844023418316087
0,2024,01,19,06,individual2,1.0,Y,Y,2,-1.1168918601099422,-0.014962106954946276,1.3958521543803162,-0.00015287778755522489
1,2024,01,19,06,individual2,2.0,Y,Y,2,-1.3403074543610725,-0.0010603374478239233,1.377985325728443,0.0010444058827562585
2,2024,01,19,06,individual2,3.0,Y,Y,2,-1.4520814264915234,-0.0014594255371098812,1.3787668492879972,-0.001109057829937499
3,2024,01,19,06,individual2,4.0,Y,Y,2,-1.5321697478968042,-0.001897528008585908,1.3714777265350566,0.0012435533770200717
4,2024,01,19,06,individual2,5.0,Y,Y,2,-1.6867524375477032,-0.00022906511725939298,1.3767291837554751,-2.5839089103208452e-05
5,2024,01,19,06,individual2,6.0,Y,Y,2,-1.3759259653690927,-0.0006441853766054053,1.4430530407741888,-1.15362175948146e-05
6,2024,01,19,06,individual2,7.0,Y,Y,2,-1.2717965348693707,-0.002554391242228568,1.4425097100620274,0.00021839151350761156
7,2024,01,19,06,individual2,8.0,Y,Y,2,-1.423186982496064,-0.01001466843374093,1.4097496946843264,-0.0013151504103262246
8,2024,01,19,06,individual2,9.0,Y,Y,2,-1.4754193911052287,-0.016684783951924662,1.3314074518324193,9.23442094875314e-05
9,2024,01,19,06,individual2,10.0,Y,Y,2,-1.4630012275158435,-0.0034803497424551505,1.2263027880826352,0.00019062514255287886
10,2024,01,19,06,individual2,11.0,Y,Y,2,-0.8111854636428814,-0.000693349650395625,1.173279471222097,0.0017078405114431625
11,2024,01,19,06,individual2,12.0,Y,Y,2,-1.2313182915270524,-0.0010420274644527586,0.976641223411612,-0.0003719215137743398
12,2024,01,19,06,individual2,13.0,Y,Y,2,-0.9195766676065358,0.0031763359168228184,1.021658650263933,-0.0013563199090757731
13,2024,01,19,06,individual2,14.0,Y,Y,2,-0.7254289577613416,-0.004308786391437073,1.2960206959230227,0.00014283075331449326
14,2024,01,19,06,individual2,15.0,Y,Y,2,-0.6511126119984584,-0.0006086698026398792,1.5706238109907118,-0.000241562193444584
15,2024,01,19,06,individual2,16.0,Y,Y,2,-0.9332580835018154,0.0007368830590009331,1.4350079368775066,0.0016452572558909408
16,2024,01,19,06,individual2,17.0,Y,Y,2,-0.7534512657810379,-0.0007317461346603605,1.2554340819626253,-7.227149018002763e-05
17,2024,01,19,06,individual2,18.0,Y,Y,2,-0.570780528490621,-0.0023778571184653505,1.0860212551632291,0.0012523695305365276
18,2024,01,19,06,individual2,19.0,Y,Y,2,-0.43575865678970993,-0.008515546688412139,0.8667139985061068,-0.00282278494436923
