,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Z_Distance,Distance,Angle,Yaw Heading_Diff,Pitch Heading_Diff,Fish1_Speed,Fish2_Speed,Fish1_X,Fish1_Y,Fish1_Z,Fish2_X,Fish2_Y,Fish2_Z,Speed_Diff,Sync
1,2021,10,06,34,Y,N,2,individual3xindividual1,1,,,,,,,,,4.065970502406084,,,,0.048210323430450085,0.1490304951975885,0.06805187082080574,,0.8945531134410427
2,2021,10,06,34,Y,N,2,individual3xindividual1,2,2.674862327224087,-0.01901507610890157,-5.667944889901366,6.267443603071438,-0.47978346689958085,80.33032990669899,91.70879944332759,1.954744460760754,8.656358891688924,0.2867481330612982,0.14318937671478144,-0.2875025182484019,0.0642076120232359,0.14160737942774917,0.18405349275672214,-6.701614430928169,0.9397929185652888
3,2021,10,06,34,Y,N,2,individual3xindividual1,3,,,,,,,,2.4942287671825105,,0.28597860812975157,0.1462472788505036,-0.2733565369613555,,,,,0.4132529327245753
4,2021,10,06,34,Y,N,2,individual3xindividual1,4,,,,,,,,,,,,,,,,,0.3488505920306862
5,2021,10,06,34,Y,N,2,individual3xindividual1,5,,,,,,,,,3.1394312062409875,,,,0.2563576173437008,0.16676762393193292,0.11142884376357612,,0.4713290456257609
6,2021,10,06,34,Y,N,2,individual3xindividual1,6,-0.30681312102928154,0.31244253013446005,-3.0145769436492897,3.0462154840152795,133.79487684597856,77.07961276376247,41.8239199703065,3.17306778439128,3.810741999413691,0.246088551715603,0.15870844205644002,-0.15717823324762306,0.27161448294587615,0.1847027232360367,0.09362552473316689,-0.6376742150224114,0.5153410259621488
7,2021,10,06,34,Y,N,2,individual3xindividual1,7,-0.5594924262748102,0.4043286148282898,-2.330599749566073,2.4306806858378747,144.1694958803421,35.54674658871279,37.73189086024874,2.9157516227797418,2.786591699036669,0.23081228927162345,0.16023129739369035,-0.12132298132346479,0.27736038066040886,0.19387022516155955,0.07257592604118376,0.12915992374307192,0.5160961173089597
8,2021,10,06,34,Y,N,2,individual3xindividual1,8,-0.5868151982524364,0.5554278329510173,-1.9429772193598047,2.104284350905996,136.70513538547615,21.09145649221153,9.266309966912925,2.850661378298439,3.2995809378658443,0.21823680614106197,0.16286313721529233,-0.09012089997072242,0.2670580701900699,0.20907306663331812,0.07152897574835523,-0.448919559567405,0.5160961173089597
9,2021,10,06,34,Y,N,2,individual3xindividual1,9,-0.5276977843389462,0.6528900021108971,-1.402367354060351,1.6344309413942304,128.94137348258582,9.25975044203284,16.442545230793122,3.022724847716029,3.3459545297718547,0.20405177949583597,0.16747589100171498,-0.05198818905213083,0.24795465205948322,0.2217943805073353,0.06468456770362818,-0.32322968205582514,0.872656872976042
0,2021,10,06,34,Y,N,2,individual4xindividual1,0,2.6419321713523423,0.06739013662093042,-4.465852723180591,5.189237667873749,1.4559051767308457,15.012158443299592,15.34778360631692,2.2123721517452433,2.949592193658183,0.265657968272725,0.14993841276943118,-0.3059098559798296,0.04585713741272409,0.15554506996588274,0.06563569303062604,-0.73722004191294,0.06915507619106759
1,2021,10,06,34,Y,N,2,individual4xindividual1,1,,,,,,,,,4.065970502406084,,,,0.048210323430450085,0.1490304951975885,0.06805187082080574,,0.3134290902315005
2,2021,10,06,34,Y,N,2,individual4xindividual1,2,,,,,,,,,8.656358891688924,,,,0.0642076120232359,0.14160737942774917,0.18405349275672214,,0.1460503838320877
3,2021,10,06,34,Y,N,2,individual4xindividual1,3,,,,,,,,,,,,,,,,,0.1460503838320877
4,2021,10,06,34,Y,N,2,individual4xindividual1,4,,,,,,,,,,,,,,,,,0.1460503838320877
5,2021,10,06,34,Y,N,2,individual4xindividual1,5,-0.0071026589055787305,0.001319342304366626,-3.3786497448605237,3.3786574681186203,75.7507097891151,136.7709555287077,27.790968143138883,1.9623980813412853,3.1394312062409875,0.2557666974307333,0.16665785861023655,-0.16966467905958485,0.2563576173437008,0.16676762393193292,0.11142884376357612,-1.1770331248997017,0.2906754260440677
6,2021,10,06,34,Y,N,2,individual4xindividual1,6,-0.12664189404389625,0.25461562502427615,-3.3553694384584865,3.367398306463723,117.79779996016099,,,2.0710676161205983,3.810741999413691,0.2610782572871061,0.16351946708089196,-0.18553114643826377,0.27161448294587615,0.1847027232360367,0.09362552473316689,-1.7396743832930934,0.32924210396726244
7,2021,10,06,34,Y,N,2,individual4xindividual1,7,-0.13649465734258007,0.39119975039399923,-3.2786557447968754,3.3047316879106767,109.61343232636457,,,1.9400493945647488,2.786591699036669,0.2660044346534782,0.16132357952803,-0.2001983959586818,0.27736038066040886,0.19387022516155955,0.07257592604118376,-0.8465423044719209,0.32924210396726244
8,2021,10,06,34,Y,N,2,individual4xindividual1,8,0.058721429497902516,0.5821549857127137,-3.3074865543647936,3.3588420535917347,85.18254789182153,23.933706327654306,11.604313571886589,1.8579990920559646,3.2995809378658443,0.2719435169600069,0.16063951828697745,-0.20364398311513252,0.2670580701900699,0.20907306663331812,0.07152897574835523,-1.44158184580988,0.11389567941319653
9,2021,10,06,34,Y,N,2,individual4xindividual1,9,0.3762665902243813,0.759862294020525,-3.412181436287248,3.5159564000334993,64.20408395247914,14.376802574219893,8.905873318572961,2.0298430737348347,3.3459545297718547,0.2792589035663811,0.1585761172317097,-0.21919869125116198,0.24795465205948322,0.2217943805073353,0.06468456770362818,-1.3161114560370202,0.9533629304954314
0,2021,10,06,34,Y,N,2,individual5xindividual1,0,1.4636951124432462,-0.8737755483347335,3.092399560906807,3.5311219371970894,-30.871145728269244,21.083178334745185,49.134143742716645,3.722528619274546,2.949592193658183,0.16763217968266483,0.22824057426068758,0.3229140592993895,0.04585713741272409,0.15554506996588274,0.06563569303062604,0.7729364256163627,0.4600340116600467
1,2021,10,06,34,Y,N,2,individual5xindividual1,1,1.3182380311369468,-1.0556427979044443,3.7386119564635707,4.10235939241258,-38.68106699390437,20.400763981279322,29.221952116239073,3.4129228040367536,4.065970502406084,0.1578837729069506,0.23685680905484452,0.37909316976270535,0.048210323430450085,0.1490304951975885,0.06805187082080574,-0.6530476983693304,0.75167485536443
2,2021,10,06,34,Y,N,2,individual5xindividual1,2,1.041869474244979,-1.2614228319359786,3.1541210840157956,3.5531900279785025,-51.87654232471588,74.71856345691612,35.302529667591216,3.4663034218778193,8.656358891688924,0.1508880266719954,0.24655397477632673,0.44646690458358423,0.0642076120232359,0.14160737942774917,0.18405349275672214,-5.190055469811106,0.9016923493145234
3,2021,10,06,34,Y,N,2,individual5xindividual1,3,,,,,,,,3.114632911039125,,0.15199855997031553,0.25235951242116345,0.49650859466931374,,,,,0.9542353328022259
4,2021,10,06,34,Y,N,2,individual5xindividual1,4,,,,,,,,5.295965847185301,,0.15598958736450996,0.2599372931231103,0.5617874186287038,,,,,0.8970882869948896
