,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,Z_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area,Groups,Mean_Groups,School_Height
11,2020,07,28,10,11,N,N,0,4.583450521840912,0.6372117696724092,0.47244244491777987,0.478892652255837,1.1088206604044146,0.3063919182497909,0.34892011850288696,1.1119793422936088,0.42507020370319243,2.395113642940799,1.0,1.0,3.1537451722390606
12,2020,07,28,10,12,N,N,0,4.628198742421363,0.714851254237422,0.5141101573648859,0.4635533572303381,1.1426439454803516,0.15913735931184553,0.3123707759915628,1.1903339721547592,0.43308928069400854,3.3721961671499123,1.0,1.0,3.838504406147987
13,2020,07,28,10,13,N,N,0,4.6363582599187,0.7785993810937817,0.6133749478226721,0.4525071711203283,1.102781489027039,0.2141503174038757,0.35060568378308943,2.4462640062688203,0.5445348923456781,2.882592045113564,1.0,1.0,3.813139918799127
14,2020,07,28,10,14,N,N,0,4.640684725362078,0.8633691132479812,0.7003257272359411,0.43756235610231115,1.0340923871487089,0.29688819664596694,0.4518715660894131,2.3904447846371615,0.5372029209925824,3.7188914083985196,1.0,1.0,3.3367963517998667
15,2020,07,28,10,15,N,N,0,4.574806504663691,0.7327030096952685,0.7886792047063531,0.4006928132222966,0.9735451136622456,0.34693470316437935,1.0233069150705878,2.859288514007207,0.6166993626220972,2.788799363428571,1.0,1.0,3.1317416070323407
0,2021,10,08,26,0,N,Y,0,4.333864690519327,2.581451026056454,1.057614264809942,0.9820749570281404,5.057987115467372,0.16521277577472349,3.1720813150466007,1.8898140092129305,1.1777131084316756,505.1684613749536,2.0,2.473684210526316,15.749756963339959
1,2021,10,08,26,1,N,Y,0,4.2650927490132595,1.7114224321730507,0.9797502814150598,0.8485905446914899,4.546889650230454,0.23364822501247023,2.097458904857671,1.4002041478660148,0.9113660687259276,449.43127615379575,3.0,3.1052631578947367,16.736544332008545
2,2021,10,08,26,2,N,Y,0,4.102253166159014,1.4146645123725943,1.307553022852319,0.7655358332099693,3.7741841762063495,0.2753283575556265,0.7903945633335593,1.3372566004259863,1.0737718702725623,490.0221101620892,3.0,2.8947368421052633,13.797933341713579
3,2021,10,08,26,3,N,Y,0,3.9621969377463877,1.2631213658380773,1.424550027045531,0.7113085240212246,3.1938663898353994,0.4291458574428575,0.843709903645089,3.2427674830225066,1.0662122990437863,446.30709861873936,3.0,2.789473684210526,12.169506984252777
4,2021,10,08,26,4,N,Y,0,3.773454927156555,1.1355743306744457,1.5458919567293443,0.6806465717189785,2.490236777471176,0.5507886410745981,0.7743942519143905,3.4197127258411566,1.0178935376747271,383.3179410582753,3.0,2.9473684210526314,9.915857215799074
