,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Speed_Diff,Sync
4,2022,06,10,08,N,N,0,individual1xindividual3,4,6.294305947550578,-2.5890745023046557,6.805996924760889,-22.419088937549294,87.85880703000568,1.4510355319370787,0.8394387172882619
5,2022,06,10,08,N,N,0,individual1xindividual3,5,5.321118415393522,-3.1226437217310856,6.16970056027897,-30.464372558889924,93.56078409670687,1.319813022911746,0.6980619769846426
6,2022,06,10,08,N,N,0,individual1xindividual3,6,4.473779757925949,-3.715924094735616,5.815737029841074,-39.73942115661909,100.61273774543386,1.0444148051244917,0.499170221957844
7,2022,06,10,08,N,N,0,individual1xindividual3,7,3.7859078046571413,-4.191210039116427,5.647950026102761,-47.925751634885565,86.79621561078267,1.142374516583532,0.6185028974968096
8,2022,06,10,08,N,N,0,individual1xindividual3,8,3.082757280410587,-4.341706246031965,5.324829159396333,-54.69542933497024,53.280187234032766,2.3190438908159563,0.9595330494428409
9,2022,06,10,08,N,N,0,individual1xindividual3,9,2.3945073901973046,-4.303054422587115,4.924423113975488,-60.91755736095438,51.77127009542692,1.3200440999771463,0.967121398649934
10,2022,06,10,08,N,N,0,individual1xindividual3,10,1.5945290512696644,-4.30255232229199,4.588516032597373,-69.7301091293208,89.9002980769033,0.7722953786114187,0.9877554166352637
0,2022,06,10,08,N,N,0,individual4xindividual1,0,-2.9753451590515914,4.543218179395357,5.430792782005239,123.19289188081838,149.17575632185853,-0.7131836542329262,0.43536160302581095
1,2022,06,10,08,N,N,0,individual4xindividual1,1,-2.480882264431927,4.438414125049801,5.084712062193343,119.21369961300843,156.74069895752444,-0.8686449790859813,0.4284892574777452
2,2022,06,10,08,N,N,0,individual4xindividual1,2,-2.1978429207074925,4.0446457104751845,4.603224133948872,118.48030989785012,90.77949025075966,-0.246074248250949,0.3985405924019288
3,2022,06,10,08,N,N,0,individual4xindividual1,3,-2.0644117469257055,3.889356281830824,4.403281520396094,117.95464699160941,68.49216564804789,-0.2518057047723597,0.3643777627857422
4,2022,06,10,08,N,N,0,individual4xindividual1,4,-1.2674260614091903,3.8377244635697183,4.041595956973024,108.05971382485761,74.93245603662344,-1.3828357988622533,0.35964957565240047
5,2022,06,10,08,N,N,0,individual4xindividual1,5,-0.18771388103567294,3.9102228443987337,3.91472594110893,92.77053564968288,106.21944534868427,-1.986966188695231,0.35964957565240047
6,2022,06,10,08,N,N,0,individual4xindividual1,6,0.5073913957040838,4.047448072181204,4.07912759366974,82.89854007700139,81.87715840535036,-1.680381287370998,0.41260082867125075
7,2022,06,10,08,N,N,0,individual4xindividual1,7,1.282800945430742,4.116870352706306,4.312099229678064,72.75130419738448,82.85826184641284,-2.302573293803705,0.42672116280961087
0,2022,06,10,08,N,N,0,individual5xindividual1,0,-4.764979095916706,1.7821259468688213,5.087337090760379,159.41934135402593,37.75716144198216,0.3776113067044598,0.4963712655323018
1,2022,06,10,08,N,N,0,individual5xindividual1,1,-3.8175180319189734,1.6644127322764692,4.164578450142407,156.47802786134977,87.99774758599547,-0.2212360493265619,0.647353243095018
2,2022,06,10,08,N,N,0,individual5xindividual1,2,-3.023062434221179,1.227830806219321,3.26289364979928,157.89042193045518,153.43520592447686,0.01870237909121475,0.7265243539668981
3,2022,06,10,08,N,N,0,individual5xindividual1,3,-2.3449829534317903,1.045172390444974,2.567358638296205,155.86141398925406,170.7327479292881,-0.6397894469088803,0.7056834843907375
4,2022,06,10,08,N,N,0,individual5xindividual1,4,-1.329166775410332,1.1205660880083343,1.7384914939248344,138.64616551738132,168.20641956750248,-1.4082404608861012,0.6588254918663594
5,2022,06,10,08,N,N,0,individual5xindividual1,5,0.0024971651192221087,1.4264905693942593,1.426492755118087,90.68226860724178,155.78042933623982,-1.6208504970154092,0.4602420170546992
6,2022,06,10,08,N,N,0,individual5xindividual1,6,1.1716104200044313,1.7454158885946445,2.102176871821587,56.81526795911882,162.41369056514546,-1.1045170435026854,0.5808688931701663
7,2022,06,10,08,N,N,0,individual5xindividual1,7,2.2567340236026125,1.9805471120168052,3.0025681201604306,41.58333917701117,158.44857388843818,-1.4757596192059634,0.6767258728362783
8,2022,06,10,08,N,N,0,individual5xindividual1,8,3.5043489088438693,2.207445821353776,4.141651642657488,32.40420872861332,158.2172050994116,-1.3347186760939853,0.5820714916743094
9,2022,06,10,08,N,N,0,individual5xindividual1,9,4.844697900776776,2.397177407811115,5.405326750004195,26.404454006208095,158.54067103058392,-0.41426594224624597,0.21385415225588458
10,2022,06,10,08,N,N,0,individual5xindividual1,10,6.321652626971767,2.36457839270915,6.749409078679854,20.598381646696534,171.80230997272352,0.8359316764836702,0.6201673803081938
0,2022,06,10,08,N,N,0,individual6xindividual1,0,-1.4591562121838355,4.447830200195313,4.681060813675054,108.15492289860147,98.43376038827606,-0.41063751703583923,0.09316605123950347
1,2022,06,10,08,N,N,0,individual6xindividual1,1,-1.4207184445412633,4.381436308690954,4.606020519469617,107.98622706745728,144.73860735392967,-0.16172244972237423,0.30616245189450786
2,2022,06,10,08,N,N,0,individual6xindividual1,2,-1.3368866657541076,4.012517837012598,4.229369379637512,108.37085058525008,73.49773836862315,0.19824918107247375,0.2200522326639635
3,2022,06,10,08,N,N,0,individual6xindividual1,3,-1.022750417575675,3.8581051416867815,3.991364891983843,104.84543157311255,87.64421191060755,-0.3205482213681985,0.2200522326639635
4,2022,06,10,08,N,N,0,individual6xindividual1,4,-0.22724805113597632,3.8194400900743766,3.8261944904058995,93.36278124809198,103.48855263321786,-1.1181269152469875,0.5714647782563135
5,2022,06,10,08,N,N,0,individual6xindividual1,5,0.5913462101811767,3.882866219925497,3.9276380207618624,81.45628717980873,80.36597976588767,-1.5637959907488075,0.6107067627112727
6,2022,06,10,08,N,N,0,individual6xindividual1,6,1.818977882337401,3.950268173529856,4.34894230580673,65.3617892261411,138.70939399066967,-0.8281296713278987,0.4873986011530479
7,2022,06,10,08,N,N,0,individual6xindividual1,7,2.8565717270109676,4.022903163588467,4.933938781051961,54.71427971998124,135.3731998868597,-0.9870029763075882,0.40437242470004797
8,2022,06,10,08,N,N,0,individual6xindividual1,8,3.5683579269338437,4.137885404471841,5.463997979067405,49.345981917791974,86.85565720602344,-1.437101234411348,0.5059562778793307
